Samples	SBS96A	SBS96B
P-0024595-T01-IM6	6.41E-02	6.41E-02
P-0024639-T01-IM6	1.27E+00	1.27E+00
P-0024769-T01-IM6	3.71E-01	3.71E-01
P-0024771-T01-IM6	1.23E-01	1.23E-01
P-0024830-T01-IM6	1.78E-01	1.77E-01
P-0024927-T01-IM6	1.44E-01	1.44E-01
P-0024994-T01-IM6	1.65E-01	1.65E-01
P-0024995-T01-IM6	1.90E-01	1.89E-01
P-0025093-T01-IM6	2.74E-01	2.74E-01
P-0025164-T01-IM6	4.55E-01	4.55E-01
P-0025347-T01-IM6	3.64E-01	3.65E-01
P-0025530-T01-IM6	3.69E-01	3.69E-01
P-0025541-T01-IM6	2.52E-01	2.52E-01
P-0025561-T01-IM6	1.31E-01	1.31E-01
P-0025565-T01-IM6	2.38E-01	2.41E-01
P-0025608-T01-IM6	1.92E-01	1.93E-01
P-0025733-T01-IM6	1.33E-01	1.33E-01
P-0025737-T01-IM6	4.76E-02	4.76E-02
P-0025813-T01-IM6	2.43E-01	2.43E-01
P-0025831-T01-IM6	2.24E-01	2.24E-01
P-0025853-T01-IM6	1.74E-01	1.74E-01
P-0025878-T01-IM6	1.26E-01	1.26E-01
P-0025945-T01-IM6	1.37E+00	1.37E+00
P-0025973-T01-IM6	1.17E+00	1.17E+00
P-0026008-T01-IM6	7.03E-01	7.03E-01
P-0026015-T01-IM6	1.60E-01	1.60E-01
P-0026030-T01-IM6	3.62E-01	3.62E-01
P-0026104-T01-IM6	5.34E-02	5.34E-02
P-0026158-T04-IM6	1.41E-01	1.41E-01
P-0026274-T02-IM6	2.87E-01	2.87E-01
P-0026314-T01-IM6	1.94E-01	1.94E-01
P-0026326-T02-IM6	2.49E-01	2.48E-01
P-0026354-T01-IM6	4.32E-01	4.30E-01
P-0026361-T01-IM6	4.04E-02	4.04E-02
P-0026488-T01-IM6	3.21E-01	3.21E-01
P-0026715-T01-IM6	1.69E-01	1.69E-01
P-0026804-T01-IM6	1.07E-01	1.09E-01
