Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0010140-T02-IM5	3.89E-02	7.18E-02	5.95E-02	8.42E-02
P-0010232-T01-IM5	3.11E-01	3.55E-01	3.30E-01	2.76E-01
P-0010249-T01-IM5	4.50E-01	3.95E-01	4.60E-01	1.83E-01
P-0010340-T01-IM5	1.25E+00	1.55E+00	1.40E+00	2.11E-01
P-0010495-T01-IM5	6.72E-02	1.56E-01	1.69E-01	1.46E-01
P-0010596-T02-IM6	7.81E-01	7.38E-01	5.68E-01	2.34E-01
P-0010605-T01-IM5	4.92E-02	4.29E-02	3.68E-02	0.00E+00
P-0010670-T01-IM5	3.15E-01	4.41E-01	4.13E-01	1.45E-01
P-0010726-T01-IM5	2.10E+00	2.11E+00	1.78E+00	1.82E-01
P-0010805-T01-IM5	5.43E-01	4.82E-01	5.63E-01	1.72E-01
P-0010818-T01-IM5	3.61E-01	4.70E-01	4.19E-01	1.18E-01
P-0010847-T02-IM6	4.79E-01	4.62E-01	3.16E-01	1.71E-01
P-0010848-T01-IM5	3.52E-01	3.80E-01	3.43E-01	1.17E-01
P-0010915-T01-IM5	3.63E-01	3.66E-01	4.02E-01	3.11E-01
P-0010937-T01-IM5	6.68E-01	8.17E-01	7.26E-01	2.36E-01
P-0010975-T01-IM5	4.58E-02	1.06E-01	9.37E-02	1.23E-01
P-0011047-T01-IM5	6.64E-01	8.41E-01	7.95E-01	2.44E-01
P-0011081-T01-IM5	2.37E-01	3.19E-01	3.54E-01	1.39E-01
P-0011216-T01-IM5	4.39E-01	3.92E-01	4.50E-01	2.07E-01
P-0011269-T01-IM5	6.43E-01	7.60E-01	6.07E-01	1.68E-01
P-0011297-T01-IM5	2.14E-01	2.07E-01	1.36E-01	9.15E-02
P-0011467-T01-IM5	1.46E+00	1.34E+00	1.17E+00	2.68E-01
P-0011476-T01-IM5	2.39E-01	2.05E-01	6.97E-02	1.42E-01
P-0011594-T01-IM5	3.17E-01	3.15E-01	1.71E-01	1.64E-01
P-0012080-T01-IM5	6.29E-01	6.98E-01	5.19E-01	1.96E-01
P-0012119-T01-IM5	4.02E-01	3.85E-01	3.22E-01	1.50E-01
P-0012194-T01-IM5	7.26E-01	8.97E-01	7.80E-01	1.86E-01
P-0012315-T01-IM5	3.30E-01	4.73E-01	4.37E-01	1.38E-01
P-0012361-T01-IM5	8.85E-01	1.04E+00	7.71E-01	2.77E-01
P-0012407-T01-IM5	4.88E-01	6.13E-01	5.33E-01	1.70E-01
P-0012408-T01-IM5	3.37E-01	3.75E-01	3.39E-01	2.84E-01
P-0012420-T01-IM5	2.84E-01	4.00E-01	3.00E-01	2.18E-01
P-0012446-T01-IM5	6.83E-01	7.55E-01	6.23E-01	1.15E-01
P-0012529-T01-IM5	2.46E-01	2.89E-01	2.41E-01	1.46E-01
P-0012550-T01-IM5	1.02E+00	1.07E+00	9.95E-01	3.98E-01
P-0012551-T01-IM5	2.70E-01	2.02E-01	1.82E-01	2.49E-01
P-0012780-T01-IM5	9.00E-02	1.81E-01	2.12E-01	2.40E-01
P-0012783-T01-IM5	4.79E-01	5.37E-01	4.20E-01	2.71E-01
P-0012856-T01-IM5	6.15E-01	6.70E-01	6.58E-01	2.81E-01
P-0012860-T01-IM5	2.16E+00	2.40E+00	1.91E+00	2.57E-01
P-0012865-T01-IM5	7.68E-01	7.92E-01	6.50E-01	3.08E-01
P-0012884-T01-IM5	2.23E-02	6.74E-02	8.24E-02	8.44E-02
P-0012924-T01-IM5	4.29E-02	4.02E-02	4.76E-02	4.16E-02
P-0012968-T01-IM5	2.84E-01	2.96E-01	1.87E-01	1.55E-01
P-0012999-T01-IM5	5.70E-01	5.90E-01	3.53E-01	1.78E-01
P-0013025-T01-IM5	3.90E-01	3.99E-01	2.64E-01	1.98E-01
P-0013111-T01-IM5	3.25E-01	4.00E-01	4.37E-01	3.23E-01
P-0013166-T01-IM5	9.34E-01	1.15E+00	8.67E-01	2.91E-01
P-0013180-T01-IM5	3.18E-01	2.88E-01	2.63E-01	1.57E-01
P-0013232-T01-IM5	9.91E-01	1.04E+00	7.44E-01	3.09E-01
