Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0026715-T01-IM6	0	3	0	3
P-0026804-T01-IM6	2	3	0	0
P-0026835-T01-IM6	18	11	9	0
P-0027076-T01-IM6	4	2	0	3
P-0027084-T01-IM6	5	4	18	5
P-0027104-T01-IM6	4	6	1	2
P-0027154-T01-IM6	7	0	0	4
P-0027227-T01-IM6	6	4	0	3
P-0027258-T01-IM6	5	35	16	0
P-0027270-T01-IM6	4	17	0	0
P-0027338-T01-IM6	23	5	34	0
P-0027588-T01-IM6	0	0	2	0
P-0027603-T01-IM6	18	7	4	1
P-0027626-T01-IM6	1	2	5	1
P-0027707-T01-IM6	2	9	2	0
P-0027716-T01-IM6	10	5	8	6
P-0027739-T01-IM6	7	3	0	2
P-0027752-T01-IM6	22	26	9	0
P-0027768-T01-IM6	5	10	4	4
P-0027808-T01-IM6	14	5	0	0
P-0027875-T01-IM6	6	0	4	1
P-0028040-T01-IM6	6	7	3	3
P-0028041-T01-IM6	1	2	2	2
P-0028067-T01-IM6	5	0	0	4
P-0028078-T01-IM6	11	0	0	0
P-0028101-T01-IM6	17	18	14	0
P-0028205-T01-IM6	14	13	10	0
P-0028298-T01-IM6	0	4	0	0
P-0028316-T01-IM6	3	4	0	0
P-0028477-T01-IM6	44	20	13	4
P-0028629-T01-IM6	22	11	35	0
P-0028631-T01-IM6	27	0	7	4
P-0028681-T01-IM6	0	4	18	2
P-0028849-T02-IM6	0	2	12	3
P-0028910-T01-IM6	26	9	1	1
P-0028920-T01-IM6	5	18	3	0
P-0028988-T01-IM6	8	13	0	0
P-0028993-T01-IM6	12	11	0	0
P-0029242-T01-IM6	1	5	0	1
P-0029305-T01-IM6	7	11	6	0
P-0029330-T01-IM6	2	0	2	3
P-0029332-T01-IM6	13	0	1	0
P-0029387-T01-IM6	4	13	19	0
P-0029475-T01-IM6	2	1	15	1
P-0029504-T01-IM6	47	105	45	0
P-0029544-T01-IM6	0	0	4	3
P-0029614-T01-IM6	6	6	1	0
P-0029764-T01-IM6	8	29	0	0
P-0029804-T01-IM6	2	0	1	3
P-0029808-T01-IM6	6	0	0	3
P-0029950-T01-IM6	2	0	14	1
P-0029954-T01-IM6	0	0	0	1
P-0029989-T01-IM6	6	7	0	1
P-0030112-T02-IM6	2	0	7	7
P-0030135-T01-IM6	3	1	3	4
P-0030209-T01-IM6	12	16	3	2
P-0030237-T01-IM6	0	0	1	0
P-0030248-T01-IM6	0	4	1	1
P-0030255-T01-IM6	2	0	1	1
P-0030290-T01-IM6	64	40	16	0
P-0030388-T01-IM6	0	0	0	1
P-0030475-T01-IM6	14	0	12	4
P-0030546-T01-IM6	18	6	0	0
P-0030816-T01-IM6	3	3	0	2
P-0030878-T01-IM6	0	3	0	0
P-0030903-T01-IM6	25	0	5	11
P-0030939-T01-IM6	8	0	7	2
P-0031177-T01-IM6	4	1	0	5
P-0031286-T03-IM6	14	34	10	0
P-0031640-T01-IM6	27	20	5	0
P-0031794-T01-IM6	1	0	0	2
P-0031887-T01-IM6	12	0	2	1
P-0032079-T01-IM6	6	0	7	5
P-0032185-T01-IM6	20	27	15	0
P-0032392-T01-IM6	7	7	0	3
P-0032398-T01-IM6	7	14	12	1
P-0032404-T01-IM6	26	20	2	0
P-0032570-T01-IM6	16	24	16	0
P-0032586-T01-IM6	5	13	16	0
P-0032617-T01-IM6	3	0	0	2
P-0032650-T01-IM6	20	5	38	1
P-0032691-T01-IM6	99	55	83	0
P-0032739-T01-IM6	1	4	7	2
P-0032746-T01-IM6	5	5	5	5
P-0032774-T02-IM6	27	2	7	0
P-0032780-T01-IM6	6	0	1	0
P-0032800-T01-IM6	16	11	0	0
P-0032812-T01-IM6	2	0	0	3
P-0032845-T01-IM6	3	18	1	0
P-0032896-T01-IM6	7	0	1	1
P-0032937-T01-IM6	5	0	0	3
P-0032984-T01-IM6	0	13	10	0
P-0032996-T01-IM6	0	0	0	2
P-0033003-T01-IM6	38	8	15	10
P-0033074-T01-IM6	4	0	1	4
P-0033097-T01-IM6	3	0	11	4
P-0033151-T01-IM6	1	8	3	3
P-0033199-T01-IM6	3	8	0	3
P-0033292-T01-IM6	0	0	3	3
P-0033354-T01-IM6	0	0	0	3
P-0033363-T01-IM6	0	1	0	2
P-0033378-T01-IM6	18	55	39	0
P-0033470-T01-IM6	7	1	8	2
P-0033610-T01-IM6	3	0	0	2
P-0033649-T01-IM6	10	9	0	0
P-0033654-T01-IM6	19	35	9	0
P-0033782-T01-IM6	16	16	1	0
P-0033795-T01-IM6	4	0	0	0
P-0033935-T01-IM6	33	10	12	0
P-0033950-T01-IM6	6	0	0	4
P-0033965-T01-IM6	1	17	5	0
P-0034034-T01-IM6	5	2	1	1
P-0034042-T01-IM6	27	6	6	0
P-0034168-T01-IM6	4	2	0	0
P-0034178-T01-IM6	2	0	2	4
P-0034234-T01-IM6	15	0	4	2
P-0034282-T01-IM6	14	11	2	0
P-0034283-T01-IM6	27	6	15	0
P-0034288-T01-IM6	5	7	0	4
P-0034303-T01-IM6	5	8	6	0
P-0034370-T01-IM6	11	3	2	1
P-0034392-T01-IM6	4	0	1	1
P-0034579-T01-IM6	6	2	0	5
P-0034585-T01-IM6	6	18	19	0
P-0034592-T01-IM6	0	11	3	0
P-0034621-T01-IM6	10	15	0	0
P-0034697-T01-IM6	7	14	2	0
P-0034710-T01-IM6	0	2	0	2
P-0035069-T01-IM6	0	0	0	1
P-0035134-T01-IM6	9	0	7	0
P-0035224-T01-IM6	57	51	2	0
P-0035430-T01-IM6	0	1	3	0
P-0035511-T02-IM6	0	14	4	0
P-0035523-T01-IM6	3	8	0	1
P-0035564-T01-IM6	9	3	5	1
P-0035784-T01-IM6	29	0	29	0
P-0035813-T01-IM6	0	0	0	1
P-0035910-T01-IM6	59	46	16	0
P-0035974-T01-IM6	18	34	13	0
P-0036089-T01-IM6	0	3	4	3
P-0036095-T01-IM6	14	16	25	0
P-0036159-T01-IM6	6	1	4	3
