Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0003743-T01-IM5	9	0.757	9.61	106.778%	2.416	67.008%	1.23121	0.741
P-0003868-T01-IM5	10	0.685	11.744	117.44%	2.318	73.302%	1.35963	0.641
P-0003871-T01-IM5	96	0.969	45.568	47.467%	8.747	27.281%	0.29575	0.967
P-0003872-T01-IM5	22	0.907	17.549	79.768%	3.722	47.269%	0.67395	0.904
P-0003921-T01-IM5	15	0.841	13.995	93.3%	2.73	54.6%	1.14012	0.823
P-0003966-T01-IM5	7	0.825	8.266	118.086%	1.959	65.3%	0.95859	0.834
P-0004048-T01-IM5	3	0.719	3.813	127.1%	1.259	72.688%	1.68933	0.712
P-0004142-T01-IM5	27	0.82	24.402	90.378%	5.93	57.327%	0.90884	0.804
P-0004203-T01-IM5	9	0.648	11.796	131.067%	2.949	76.143%	2.0473	0.621
P-0004214-T01-IM5	37	0.901	22.428	60.616%	5.235	43.777%	0.4873	0.889
P-0004236-T01-IM5	18	0.644	20.892	116.067%	4.622	77.033%	1.17157	0.597
P-0004253-T01-IM5	9	0.859	8.328	92.533%	1.927	53.445%	0.82196	0.85
P-0004272-T01-IM5	9	0.716	10.356	115.067%	2.315	69.8%	1.6656	0.688
P-0004348-T01-IM5	24	0.954	13.232	55.133%	2.91	30.339%	0.69571	0.95
P-0004349-T01-IM5	7	0.837	8.15	116.429%	1.868	62.267%	1.1377	0.84
P-0004437-T01-IM5	15	0.852	12.446	82.973%	2.737	52.674%	0.89022	0.836
P-0004457-T01-IM5	41	0.911	32.269	78.705%	7.541	43.18%	0.71588	0.906
P-0004518-T01-IM5	25	0.925	15.342	61.368%	3.436	39.676%	0.86911	0.919
P-0004650-T01-IM5	61	0.958	29.135	47.762%	5.912	29.162%	0.39526	0.954
P-0004700-T02-IM5	6	0.818	6.864	114.4%	2.155	62.209%	1.14191	0.815
P-0004914-T01-IM5	25	0.864	18.408	73.632%	4.708	51.677%	0.55425	0.852
P-0004933-T02-IM6	17	0.756	16.543	97.312%	3.539	65.718%	1.30709	0.723
P-0004952-T01-IM5	37	0.929	25.982	70.222%	4.536	37.16%	0.70575	0.921
P-0005039-T01-IM5	30	0.963	14.564	48.547%	2.808	28.08%	0.46255	0.959
P-0005053-T01-IM5	12	0.846	11.759	97.992%	3.818	57.559%	0.85602	0.842
P-0005062-T01-IM5	1	0.752	1.708	170.8%	0.864	86.4%	1.92409	0.825
P-0005109-T01-IM5	17	0.862	12.624	74.259%	2.954	51.423%	0.68501	0.848
P-0005118-T01-IM5	19	0.894	14.243	74.963%	3.581	47.432%	0.7062	0.888
P-0005129-T01-IM5	9	0.83	8.866	98.511%	2.182	56.339%	1.29877	0.82
P-0005144-T01-IM5	7	0.557	9.781	139.729%	2.675	89.167%	2.77543	0.527
P-0005146-T01-IM5	8	0.287	12.474	155.925%	3.032	107.197%	2.55356	0.201
P-0005159-T01-IM5	102	0.916	68.458	67.116%	10.925	42.334%	0.47192	0.901
P-0005222-T01-IM5	16	0.91	13.388	83.675%	2.92	45.057%	0.70424	0.906
P-0005228-T01-IM5	93	0.967	49.455	53.177%	8.62	27.03%	0.39695	0.964
P-0005241-T01-IM5	2	0.598	2.531	126.55%	1.134	80.186%	2.07013	0.586
P-0005260-T01-IM5	9	0.862	9.148	101.644%	2.393	58.039%	0.9091	0.863
P-0005352-T01-IM5	10	0.764	10.813	108.13%	2.588	64.7%	1.27791	0.745
P-0005366-T01-IM5	155	0.984	54.395	35.094%	10.098	19.183%	0.20331	0.983
P-0005370-T01-IM5	15	0.737	16.117	107.447%	3.594	69.167%	1.36918	0.709
P-0005383-T01-IM5	21	0.892	14.304	68.114%	3.262	45.677%	0.51368	0.881
P-0005421-T01-IM5	17	0.875	15.63	91.941%	3.141	49.054%	0.86461	0.865
P-0005461-T02-IM5	2	0.682	2.708	135.4%	1.075	76.014%	1.36665	0.677
P-0005493-T01-IM5	8	0.645	10.853	135.662%	2.887	77.158%	1.8589	0.624
P-0005583-T01-IM5	4	0.909	5.018	125.45%	1.592	64.993%	0.99751	0.934
P-0005604-T01-IM5	7	0.817	7.978	113.971%	2.048	61.75%	1.12944	0.812
P-0005673-T01-IM5	12	0.897	10.709	89.242%	2.152	50.723%	0.67104	0.896
