Samples	SBS96A	SBS96B	SBS96C
P-0010847-T02-IM6	5.71E-01	5.53E-01	2.64E-01
P-0010848-T01-IM5	4.94E-01	5.06E-01	1.33E-01
P-0010915-T01-IM5	4.56E-01	4.38E-01	3.28E-01
P-0010937-T01-IM5	1.01E+00	9.58E-01	3.11E-01
P-0010975-T01-IM5	8.27E-02	1.16E-01	1.22E-01
P-0011047-T01-IM5	1.04E+00	1.04E+00	3.48E-01
P-0011081-T01-IM5	4.04E-01	4.22E-01	1.82E-01
P-0011216-T01-IM5	5.41E-01	5.78E-01	3.13E-01
P-0011269-T01-IM5	9.61E-01	9.45E-01	2.96E-01
P-0011297-T01-IM5	2.25E-01	2.35E-01	1.10E-01
P-0011467-T01-IM5	1.71E+00	1.73E+00	2.90E-01
P-0011476-T01-IM5	2.43E-01	2.52E-01	1.56E-01
P-0011594-T01-IM5	3.64E-01	3.43E-01	2.19E-01
P-0012080-T01-IM5	8.01E-01	8.17E-01	2.17E-01
P-0012119-T01-IM5	4.84E-01	4.96E-01	1.47E-01
P-0012194-T01-IM5	1.15E+00	1.16E+00	2.06E-01
P-0012315-T01-IM5	5.34E-01	5.35E-01	2.48E-01
P-0012361-T01-IM5	1.27E+00	1.29E+00	3.61E-01
P-0012407-T01-IM5	7.61E-01	7.36E-01	2.14E-01
P-0012408-T01-IM5	4.12E-01	4.02E-01	3.11E-01
P-0012420-T01-IM5	3.79E-01	4.24E-01	2.85E-01
P-0012446-T01-IM5	9.19E-01	9.13E-01	1.63E-01
P-0012529-T01-IM5	3.38E-01	3.17E-01	1.76E-01
P-0012550-T01-IM5	1.26E+00	1.35E+00	4.69E-01
P-0012551-T01-IM5	2.55E-01	2.57E-01	2.52E-01
P-0012780-T01-IM5	1.36E-01	2.23E-01	2.36E-01
P-0012783-T01-IM5	5.37E-01	5.71E-01	3.38E-01
P-0012856-T01-IM5	9.15E-01	9.05E-01	3.30E-01
P-0012860-T01-IM5	3.06E+00	3.05E+00	3.71E-01
P-0012865-T01-IM5	1.07E+00	1.06E+00	5.01E-01
P-0012884-T01-IM5	4.33E-02	8.75E-02	9.10E-02
P-0012924-T01-IM5	4.85E-02	4.56E-02	4.76E-02
P-0012968-T01-IM5	2.62E-01	2.72E-01	1.58E-01
P-0012999-T01-IM5	5.82E-01	5.97E-01	1.86E-01
P-0013025-T01-IM5	4.54E-01	4.42E-01	2.23E-01
P-0013111-T01-IM5	5.02E-01	5.39E-01	4.09E-01
P-0013166-T01-IM5	1.30E+00	1.28E+00	3.22E-01
P-0013180-T01-IM5	3.32E-01	3.60E-01	2.06E-01
P-0013232-T01-IM5	1.34E+00	1.29E+00	3.14E-01
P-0013274-T01-IM5	2.75E-01	2.79E-01	1.20E-01
P-0013318-T01-IM5	2.30E-01	2.52E-01	2.68E-01
P-0013341-T01-IM5	6.41E-01	6.54E-01	2.10E-01
P-0013343-T01-IM5	6.55E-01	6.20E-01	1.93E-01
P-0013356-T01-IM5	9.07E-01	9.03E-01	1.88E-01
P-0013383-T01-IM5	1.23E+00	1.18E+00	3.27E-01
P-0013389-T01-IM5	2.38E-01	2.77E-01	2.24E-01
P-0013413-T01-IM5	6.79E-01	7.02E-01	2.81E-01
P-0013448-T01-IM5	3.49E-01	3.41E-01	2.35E-01
P-0013451-T01-IM5	7.60E-02	1.38E-01	1.43E-01
P-0013481-T01-IM5	3.47E-01	3.51E-01	1.91E-01
P-0013525-T01-IM5	3.18E-01	3.06E-01	1.34E-01
P-0013596-T01-IM5	2.75E-01	3.92E-01	3.21E-01
P-0013598-T01-IM5	4.53E-01	5.46E-01	3.75E-01
P-0013659-T01-IM5	3.04E-01	2.93E-01	1.90E-01
P-0013679-T01-IM5	4.29E-01	5.09E-01	3.56E-01
P-0013765-T01-IM5	2.53E-01	2.29E-01	1.96E-01
P-0013910-T01-IM5	5.03E-01	5.48E-01	4.10E-01
P-0014047-T03-IM6	5.98E-01	6.15E-01	2.43E-01
P-0014137-T01-IM5	7.14E-01	7.25E-01	2.32E-01
P-0014148-T01-IM5	1.20E+00	1.24E+00	4.78E-01
P-0014159-T01-IM5	4.37E-01	4.48E-01	3.54E-01
P-0014206-T01-IM6	9.40E-01	9.53E-01	2.25E-01
P-0014208-T01-IM6	6.05E-01	6.10E-01	3.96E-01
P-0014227-T01-IM6	1.08E+00	1.16E+00	5.49E-01
P-0014229-T01-IM6	1.04E+00	1.05E+00	1.81E-01
P-0014242-T01-IM6	8.36E-01	8.17E-01	2.01E-01
P-0014311-T01-IM6	5.57E-02	1.13E-01	1.18E-01
P-0014379-T01-IM6	9.13E-02	1.17E-01	1.17E-01
P-0014392-T01-IM6	9.78E-01	9.81E-01	2.09E-01
P-0014449-T01-IM6	8.69E-02	7.29E-02	7.85E-02
P-0014556-T01-IM6	5.74E-01	5.80E-01	2.30E-01
P-0014682-T01-IM6	3.59E-02	5.01E-02	4.90E-02
P-0014910-T01-IM6	9.26E-01	9.05E-01	5.17E-01
P-0014946-T01-IM6	1.75E+00	1.72E+00	8.66E-01
P-0014966-T01-IM6	2.47E-01	2.40E-01	1.78E-01
P-0014969-T01-IM6	4.22E-01	3.88E-01	3.37E-01
P-0015010-T01-IM6	4.09E-02	3.86E-02	1.71E-02
P-0015106-T01-IM6	6.51E-01	6.28E-01	3.11E-01
P-0015122-T01-IM6	3.69E-01	3.86E-01	2.50E-01
P-0015142-T01-IM6	2.81E-01	2.74E-01	1.32E-01
P-0015257-T01-IM6	1.97E+00	1.95E+00	2.87E-01
P-0015261-T01-IM6	1.55E+00	1.53E+00	4.35E-01
P-0015281-T01-IM6	7.18E-01	6.80E-01	3.37E-01
P-0015373-T01-IM6	8.14E-01	8.54E-01	3.33E-01
P-0015386-T01-IM6	1.72E+00	1.74E+00	2.68E-01
P-0015407-T01-IM6	7.41E-01	7.35E-01	4.81E-01
P-0015415-T01-IM6	2.36E+00	2.30E+00	5.32E-01
P-0015438-T01-IM6	2.40E+00	2.43E+00	2.60E-01
P-0015462-T01-IM6	1.47E-01	1.49E-01	1.61E-01
P-0015471-T01-IM6	7.91E-02	7.22E-02	7.96E-02
P-0015498-T01-IM6	4.04E-01	3.84E-01	2.50E-01
P-0015511-T01-IM6	4.73E-01	4.87E-01	2.45E-01
P-0015512-T01-IM6	2.64E+00	2.70E+00	6.82E-01
P-0015521-T01-IM6	4.99E-01	5.53E-01	2.43E-01
P-0015526-T01-IM6	1.32E+00	1.32E+00	1.68E-01
P-0015530-T01-IM6	2.28E-01	1.93E-01	1.84E-01
P-0015544-T01-IM6	4.31E-01	4.54E-01	3.01E-01
P-0015612-T01-IM6	7.81E-01	7.63E-01	2.18E-01
P-0015679-T01-IM6	6.82E-02	1.79E-01	1.75E-01
P-0015694-T01-IM6	5.98E-01	6.07E-01	1.56E-01
P-0015697-T01-IM6	5.88E-01	5.87E-01	2.09E-01
P-0015718-T01-IM6	5.73E-01	6.33E-01	4.39E-01
P-0015791-T01-IM6	2.20E-01	2.31E-01	2.22E-01
P-0015827-T01-IM6	9.30E-01	9.18E-01	4.53E-01
P-0015830-T01-IM6	1.28E+00	1.29E+00	5.42E-01
P-0015832-T01-IM6	1.15E+00	1.17E+00	3.71E-01
P-0015855-T02-IM6	4.43E-01	4.48E-01	1.39E-01
P-0015881-T03-IM6	7.95E-01	7.86E-01	2.24E-01
P-0015882-T01-IM6	1.04E+00	1.06E+00	2.59E-01
P-0015895-T02-IM6	4.78E-01	4.82E-01	1.52E-01
P-0015917-T01-IM6	1.01E+00	1.05E+00	4.92E-01
P-0015959-T01-IM6	7.46E-01	7.60E-01	2.82E-01
P-0016018-T01-IM6	4.04E-01	4.51E-01	3.27E-01
P-0016027-T01-IM6	9.24E-01	8.93E-01	1.27E-01
P-0016177-T01-IM6	1.31E-01	1.67E-01	1.70E-01
P-0016197-T01-IM6	8.41E-01	8.50E-01	1.86E-01
P-0016282-T01-IM6	1.08E+00	1.08E+00	7.25E-02
P-0016327-T01-IM6	6.72E-01	6.82E-01	6.51E-02
P-0016328-T01-IM6	4.00E-01	4.21E-01	2.03E-01
P-0016347-T01-IM6	8.97E-01	9.12E-01	2.58E-01
P-0016506-T01-IM6	1.56E-01	1.50E-01	9.80E-02
P-0016530-T01-IM6	2.82E-01	2.76E-01	1.26E-01
P-0016533-T01-IM6	2.38E-01	2.77E-01	1.81E-01
P-0016596-T01-IM6	6.37E-01	8.25E-01	7.64E-01
P-0016799-T01-IM6	2.04E-01	1.87E-01	1.50E-01
P-0016800-T01-IM6	1.74E-01	1.72E-01	1.23E-01
P-0016853-T02-IM6	3.64E-01	3.71E-01	2.18E-01
P-0016928-T01-IM6	1.67E+00	1.59E+00	4.23E-01
P-0016935-T01-IM6	2.12E+00	2.13E+00	7.13E-01
P-0017003-T01-IM6	4.46E-01	4.62E-01	2.93E-01
P-0017047-T01-IM6	9.88E-01	1.02E+00	4.45E-01
P-0017054-T01-IM6	4.85E-02	7.12E-02	7.97E-02
P-0017176-T01-IM6	5.38E-01	5.56E-01	1.49E-01
P-0017215-T01-IM5	7.88E-01	7.78E-01	2.08E-01
P-0017272-T01-IM6	4.59E-01	4.46E-01	1.12E-01
P-0017353-T01-IM6	1.93E-01	1.79E-01	1.68E-01
P-0017361-T01-IM6	6.35E-01	6.49E-01	2.60E-01
P-0017384-T01-IM6	1.09E-01	1.54E-01	1.71E-01
P-0017461-T01-IM6	1.96E-01	2.45E-01	2.29E-01
P-0017506-T01-IM6	2.69E+00	2.68E+00	2.27E-01
P-0017512-T01-IM6	4.76E-01	7.14E-01	6.45E-01
P-0017539-T01-IM5	2.44E-01	2.18E-01	1.52E-01
P-0017635-T01-IM5	2.43E-01	2.48E-01	2.41E-01
P-0017636-T01-IM5	8.09E-02	5.66E-02	7.91E-02
P-0017683-T01-IM6	1.35E+00	1.35E+00	3.09E-01
P-0017690-T04-IM6	2.79E-01	3.04E-01	1.42E-01
P-0017702-T01-IM6	1.00E+00	9.81E-01	3.00E-01
P-0017744-T01-IM6	3.99E-01	4.13E-01	7.89E-02
P-0017797-T01-IM6	1.31E+00	1.31E+00	1.80E-01
P-0017815-T01-IM6	9.57E-02	1.67E-01	1.59E-01
P-0017830-T01-IM6	2.05E+00	2.09E+00	3.11E-01
P-0017943-T01-IM6	2.60E-01	2.78E-01	1.96E-01
P-0017966-T01-IM6	3.84E-01	4.22E-01	3.17E-01
P-0018031-T01-IM6	3.53E-01	3.55E-01	2.61E-01
P-0018042-T01-IM6	1.04E+00	9.99E-01	3.31E-01
P-0018059-T01-IM6	1.18E+00	1.18E+00	1.62E-01
P-0018102-T01-IM6	1.03E-01	1.06E-01	1.17E-01
P-0018132-T01-IM6	3.94E-01	4.10E-01	1.32E-01
P-0018233-T01-IM6	3.58E-01	3.63E-01	1.75E-01
P-0018304-T01-IM6	2.13E-01	2.60E-01	2.37E-01
P-0018422-T01-IM6	2.73E-02	4.88E-02	5.01E-02
P-0018444-T01-IM6	5.82E-01	5.70E-01	2.53E-01
P-0018466-T01-IM6	3.23E-01	3.21E-01	1.18E-01
P-0018561-T01-IM6	2.44E+00	2.31E+00	4.74E-01
P-0018600-T01-IM6	1.77E+00	1.77E+00	4.83E-01
P-0018656-T01-IM6	1.68E+00	1.67E+00	3.11E-01
P-0018679-T01-IM6	1.17E+00	1.19E+00	1.51E-01
P-0018759-T01-IM6	3.56E-01	3.73E-01	1.75E-01
P-0018783-T01-IM6	1.40E+00	1.39E+00	2.07E-01
P-0018819-T01-IM6	2.49E-01	2.42E-01	1.99E-01
P-0018843-T01-IM6	8.25E-01	8.19E-01	8.97E-02
P-0018854-T01-IM6	4.25E-01	4.27E-01	1.19E-01
P-0019066-T01-IM6	7.08E-02	7.18E-02	7.90E-02
P-0019137-T01-IM6	6.26E-02	1.02E-01	1.09E-01
P-0019239-T01-IM6	2.74E-01	2.52E-01	1.78E-01
P-0019263-T01-IM6	6.30E+00	6.35E+00	4.05E-01
P-0019302-T01-IM6	3.37E-01	3.82E-01	2.82E-01
P-0019333-T01-IM6	1.08E+00	1.11E+00	3.08E-01
P-0019379-T01-IM6	6.38E-01	6.24E-01	1.60E-01
P-0019443-T01-IM6	4.46E-01	4.29E-01	1.90E-01
P-0019490-T01-IM6	1.25E+00	1.24E+00	2.35E-01
P-0019557-T01-IM6	4.29E-01	4.46E-01	1.89E-01
P-0019569-T01-IM6	6.56E-01	6.39E-01	2.64E-01
P-0019697-T01-IM6	3.07E-01	3.04E-01	3.03E-01
P-0019720-T01-IM6	1.18E+00	1.18E+00	2.32E-01
P-0019861-T01-IM6	2.70E-01	2.51E-01	2.23E-01
P-0019889-T02-IM6	5.23E-01	5.23E-01	1.90E-01
P-0019909-T02-IM6	3.78E-01	4.09E-01	2.13E-01
P-0019939-T01-IM6	1.23E+00	1.14E+00	8.82E-01
P-0020082-T01-IM6	1.73E+00	1.76E+00	2.99E-01
P-0020127-T01-IM6	4.32E-01	4.73E-01	3.42E-01
P-0020191-T01-IM6	1.26E-01	1.31E-01	8.55E-02
P-0020307-T01-IM6	1.22E+00	1.27E+00	5.96E-01
P-0020319-T01-IM6	7.76E-01	7.72E-01	1.35E-01
P-0020382-T01-IM6	9.40E-01	9.42E-01	1.08E-01
P-0020388-T01-IM6	6.82E-01	6.74E-01	1.97E-01
P-0020638-T01-IM6	7.93E-01	7.58E-01	3.09E-01
P-0020641-T02-IM6	6.17E-01	6.15E-01	1.00E-02
P-0020691-T01-IM6	5.64E-02	1.08E-01	1.14E-01
P-0020768-T01-IM6	1.19E-01	9.53E-02	9.43E-02
P-0020817-T01-IM6	2.83E+00	2.79E+00	4.49E-01
P-0020913-T01-IM6	5.38E-01	5.31E-01	2.47E-01
P-0020957-T01-IM6	1.33E+00	1.35E+00	3.77E-01
P-0021046-T01-IM6	1.17E+00	1.15E+00	5.26E-01
P-0021075-T01-IM6	7.25E-01	7.52E-01	4.83E-01
P-0021121-T01-IM6	6.03E-01	6.31E-01	3.84E-01
P-0021169-T01-IM6	1.05E+00	1.10E+00	3.11E-01
P-0021174-T01-IM6	5.50E-01	5.55E-01	1.49E-01
P-0021223-T01-IM6	1.48E+00	1.46E+00	1.43E-01
P-0021331-T01-IM6	4.00E-01	4.00E-01	2.82E-01
P-0021440-T01-IM6	2.78E-01	2.90E-01	1.93E-01
