Samples	SBS1	SBS5	SBS7a	SBS7b
P-0030388-T01-IM6	0	1	0	0
P-0030475-T01-IM6	1	6	15	8
P-0030546-T01-IM6	0	0	24	0
P-0030816-T01-IM6	2	0	6	0
P-0030878-T01-IM6	0	0	0	3
P-0030903-T01-IM6	9	12	0	20
P-0030939-T01-IM6	1	5	0	11
P-0031177-T01-IM6	5	0	5	0
P-0031286-T03-IM6	0	0	29	28
P-0031640-T01-IM6	0	0	22	29
P-0031794-T01-IM6	0	0	3	0
P-0031887-T01-IM6	3	0	12	0
P-0032079-T01-IM6	2	8	8	0
P-0032185-T01-IM6	0	0	24	37
P-0032392-T01-IM6	1	3	9	4
P-0032398-T01-IM6	0	9	6	19
P-0032404-T01-IM6	0	0	16	31
P-0032570-T01-IM6	0	0	20	35
P-0032586-T01-IM6	1	7	0	26
P-0032617-T01-IM6	0	0	5	0
P-0032650-T01-IM6	2	19	14	29
P-0032691-T01-IM6	0	0	90	146
P-0032739-T01-IM6	0	3	0	11
P-0032746-T01-IM6	1	3	5	11
P-0032774-T02-IM6	3	6	27	0
P-0032780-T01-IM6	0	3	2	2
P-0032800-T01-IM6	0	0	10	16
P-0032812-T01-IM6	0	0	3	2
P-0032845-T01-IM6	0	3	3	16
P-0032896-T01-IM6	3	0	6	0
P-0032937-T01-IM6	1	0	7	0
P-0032984-T01-IM6	1	0	0	22
P-0032996-T01-IM6	0	2	0	0
P-0033003-T01-IM6	0	0	32	38
P-0033074-T01-IM6	1	2	3	3
P-0033097-T01-IM6	1	3	0	14
P-0033151-T01-IM6	2	5	0	8
P-0033199-T01-IM6	1	2	11	0
P-0033292-T01-IM6	0	2	0	4
P-0033354-T01-IM6	2	1	0	0
P-0033363-T01-IM6	1	0	0	2
P-0033378-T01-IM6	0	6	0	106
P-0033470-T01-IM6	3	4	3	8
P-0033610-T01-IM6	0	0	5	0
P-0033649-T01-IM6	0	0	7	11
P-0033654-T01-IM6	0	0	17	45
P-0033782-T01-IM6	0	0	19	13
P-0033795-T01-IM6	0	0	4	0
P-0033935-T01-IM6	0	0	25	29
P-0033950-T01-IM6	2	1	3	4
P-0033965-T01-IM6	0	0	0	23
P-0034034-T01-IM6	0	0	3	6
P-0034042-T01-IM6	0	0	24	15
P-0034168-T01-IM6	0	0	3	3
P-0034178-T01-IM6	3	0	1	4
P-0034234-T01-IM6	2	4	15	0
P-0034282-T01-IM6	0	0	11	15
P-0034283-T01-IM6	0	0	31	16
P-0034288-T01-IM6	4	0	2	10
P-0034303-T01-IM6	2	4	3	10
P-0034370-T01-IM6	1	0	5	11
P-0034392-T01-IM6	0	0	4	2
P-0034579-T01-IM6	0	0	5	8
P-0034585-T01-IM6	0	0	13	29
P-0034592-T01-IM6	3	0	0	11
P-0034621-T01-IM6	0	0	11	13
P-0034697-T01-IM6	1	0	0	22
P-0034710-T01-IM6	1	3	0	0
P-0035069-T01-IM6	0	1	0	0
P-0035134-T01-IM6	1	4	11	0
P-0035224-T01-IM6	4	23	59	24
P-0035430-T01-IM6	0	4	0	0
P-0035511-T02-IM6	1	0	0	17
P-0035523-T01-IM6	1	4	7	0
P-0035564-T01-IM6	2	0	9	7
P-0035784-T01-IM6	0	0	28	29
P-0035813-T01-IM6	0	1	0	0
P-0035910-T01-IM6	0	0	43	77
P-0035974-T01-IM6	2	14	10	39
P-0036089-T01-IM6	0	3	0	7
P-0036095-T01-IM6	2	5	5	43
P-0036159-T01-IM6	0	2	9	3
P-0036240-T01-IM6	1	3	2	10
P-0036241-T01-IM6	0	0	8	10
P-0036260-T01-IM6	0	1	7	16
P-0036578-T01-IM6	0	0	0	4
P-0036680-T01-IM6	0	0	0	19
