Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS42	SBS54
P-0040884-T01-IM6	4	5	0	0	0	6	0	0
P-0040892-T01-IM6	10	7	0	0	0	11	0	0
P-0040992-T01-IM6	24	16	0	0	0	0	0	0
P-0041146-T01-IM6	15	18	88	84	0	0	0	0
P-0041318-T01-IM6	3	1	11	8	5	0	0	0
P-0041346-T01-IM6	6	20	92	100	0	0	0	0
P-0041347-T01-IM6	3	1	0	0	0	5	5	0
P-0041596-T01-IM6	5	13	0	0	0	8	0	0
P-0042199-T01-IM6	63	0	50	190	0	0	0	0
P-0042256-T01-IM6	4	0	21	50	0	0	0	0
P-0042508-T01-IM6	6	2	0	0	0	0	0	0
P-0042644-T01-IM6	9	2	0	9	0	16	0	0
P-0042702-T01-IM6	7	0	16	60	0	0	0	0
P-0042762-T01-IM6	3	11	0	0	0	18	35	13
P-0042782-T01-IM6	2	4	0	0	8	5	0	0
P-0042819-T01-IM6	6	8	0	0	0	9	0	0
P-0043033-T02-IM6	21	0	0	0	0	14	0	0
P-0043071-T01-IM6	4	0	6	26	11	0	0	0
P-0043596-T01-IM6	121	0	172	459	0	0	0	0
P-0043613-T01-IM6	41	7	0	0	0	0	15	0
P-0043842-T01-IM6	66	0	94	127	142	0	0	0
P-0043909-T01-IM6	4	7	0	0	0	6	7	0
P-0043940-T01-IM6	4	10	0	0	0	0	0	6
P-0044312-T01-IM6	3	5	0	0	7	0	0	6
P-0044767-T01-IM6	2	5	0	0	3	0	0	0
P-0044790-T01-IM6	10	0	0	0	149	0	0	0
P-0044987-T01-IM6	42	22	0	0	0	0	0	12
P-0045120-T01-IM6	5	0	2	24	0	0	0	0
P-0045458-T01-IM6	47	0	24	198	102	0	0	0
P-0045533-T01-IM6	5	7	0	0	12	0	0	0
P-0045671-T01-IM6	5	8	0	0	0	0	0	0
P-0045738-T01-IM6	0	0	0	4	14	9	0	0
P-0045991-T01-IM6	11	1	0	0	0	0	0	7
P-0046448-T01-IM6	28	5	0	0	0	0	0	0
P-0046630-T01-IM6	20	0	0	0	20	0	0	0
P-0046754-T01-IM6	10	17	0	0	0	0	0	0
P-0046965-T01-IM6	22	49	200	208	0	0	0	0
P-0047374-T01-IM6	32	15	0	0	12	0	0	0
P-0047379-T01-IM6	2	5	2	0	0	0	0	0
P-0047653-T01-IM6	11	3	9	30	0	0	0	0
P-0047766-T01-IM6	32	3	0	0	13	0	0	0
P-0047768-T01-IM6	44	2	0	0	16	0	0	0
P-0047771-T01-IM6	4	0	29	57	0	0	0	0
P-0047974-T01-IM6	8	0	16	20	0	0	0	0
P-0048176-T01-IM6	7	11	0	0	0	7	0	0
P-0048238-T01-IM6	9	5	0	0	0	0	0	9
P-0048255-T01-IM6	6	22	0	0	10	0	0	0
P-0048289-T01-IM6	5	6	2	0	0	0	5	0
P-0048521-T01-IM6	10	6	0	0	0	0	0	7
P-0048589-T01-IM6	2	9	0	0	0	0	0	10
P-0048620-T01-IM6	7	14	0	4	0	0	0	7
P-0048757-T01-IM6	17	0	0	8	8	0	0	0
P-0048915-T01-IM6	4	6	0	0	0	0	11	0
P-0048984-T01-IM6	7	5	0	0	8	0	0	0
P-0049047-T01-IM6	69	22	214	185	139	0	0	0
P-0049073-T01-IM6	14	0	99	106	0	0	0	0
P-0049274-T01-IM6	2	3	16	25	0	0	0	0
P-0049291-T01-IM6	40	5	0	0	0	0	0	0
P-0049371-T01-IM6	6	0	11	34	0	0	0	0
P-0049473-T01-IM6	14	14	0	0	0	0	0	0
P-0049485-T01-IM6	2	16	0	4	24	0	0	0
P-0049760-T01-IM6	56	0	17	181	130	0	0	0
P-0049775-T01-IM6	19	4	0	9	0	0	0	0
P-0049788-T01-IM6	1	0	9	12	0	0	0	0
P-0049805-T01-IM6	10	11	0	0	0	0	0	0
P-0049931-T01-IM6	11	13	0	0	15	0	0	0
P-0050111-T01-IM6	10	6	0	0	12	0	0	0
P-0050149-T01-IM6	6	8	0	0	0	0	8	8
