Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS21	SBS42	SBS54
P-0030265-T01-IM6	29	0	0	0	199	0	0	0	0
P-0030636-T01-IM6	16	16	0	0	0	0	0	0	0
P-0030708-T01-IM6	21	6	0	0	25	0	0	0	11
P-0030774-T01-IM6	23	7	0	10	31	0	0	0	0
P-0030960-T01-IM6	12	13	0	0	11	0	0	0	0
P-0030988-T01-IM6	1	7	0	0	32	0	0	0	0
P-0031050-T01-IM6	4	0	0	0	15	0	0	0	12
P-0031091-T01-IM6	9	12	0	0	39	0	0	0	0
P-0031146-T01-IM6	8	0	0	0	15	0	0	0	0
P-0031207-T01-IM6	16	5	0	0	0	0	0	0	17
P-0031496-T01-IM6	18	6	0	0	29	0	0	0	0
P-0032060-T01-IM6	23	0	0	0	32	0	0	0	0
P-0032698-T01-IM6	20	1	0	0	0	26	0	0	0
P-0032718-T01-IM6	4	10	0	0	34	0	11	0	0
P-0032777-T01-IM6	2	3	0	0	8	30	0	0	0
P-0033100-T01-IM6	17	16	0	0	0	0	0	14	0
P-0033382-T01-IM6	46	7	0	16	23	0	0	0	0
P-0033425-T01-IM6	91	0	0	0	274	0	0	0	0
P-0033503-T01-IM6	19	11	0	0	0	0	0	0	0
P-0033748-T01-IM6	0	63	71	0	0	0	0	0	0
P-0033852-T01-IM6	15	11	0	0	0	13	0	0	0
P-0034090-T01-IM6	0	4	0	0	15	0	0	0	0
P-0034401-T01-IM6	10	4	0	0	10	0	0	0	0
P-0034935-T01-IM6	0	1	0	0	5	0	0	0	7
P-0034950-T01-IM6	15	9	0	0	15	0	0	0	0
P-0035033-T01-IM6	3	2	0	0	5	0	0	0	0
P-0035100-T01-IM6	27	6	0	0	0	0	0	0	0
P-0035103-T01-IM6	15	0	63	55	0	0	0	0	0
P-0035437-T01-IM6	5	22	0	12	9	0	0	0	0
P-0035452-T01-IM6	26	13	0	0	0	0	0	27	0
P-0035693-T01-IM6	2	8	0	7	4	0	0	0	0
P-0035742-T01-IM6	0	0	3	14	6	0	0	0	0
P-0035755-T01-IM6	14	0	0	0	21	0	0	0	12
P-0035916-T01-IM6	16	6	0	0	10	0	0	0	10
P-0036028-T01-IM6	10	8	0	0	28	0	0	0	0
P-0036050-T01-IM6	15	0	0	0	27	0	0	0	0
P-0036309-T01-IM6	11	15	0	0	13	0	0	0	0
P-0036334-T01-IM6	26	1	0	0	24	0	0	0	0
P-0036369-T01-IM6	13	0	0	0	40	0	0	0	0
P-0036380-T01-IM6	13	0	0	0	0	0	0	19	0
P-0036500-T01-IM6	22	9	0	0	30	0	0	0	0
P-0036503-T01-IM6	5	0	20	77	38	0	0	0	0
P-0036831-T01-IM6	15	16	0	0	12	0	0	0	0
P-0036852-T01-IM6	15	32	0	0	12	0	0	0	0
P-0036924-T01-IM6	10	3	0	0	0	0	0	16	16
P-0037227-T01-IM6	14	3	0	0	0	8	0	0	7
P-0037246-T01-IM6	6	7	0	0	13	0	0	0	0
P-0037410-T01-IM6	8	22	0	0	29	0	0	0	7
P-0037531-T01-IM6	3	29	39	39	0	0	0	0	0
P-0037582-T01-IM6	14	6	0	0	11	0	0	0	0
P-0037838-T02-IM6	12	0	0	0	10	9	0	0	0
P-0037867-T01-IM6	9	0	0	8	14	14	0	0	0
P-0037875-T01-IM6	7	14	0	5	19	0	0	0	0
P-0037898-T01-IM6	20	1	92	103	0	0	0	0	0
P-0038159-T01-IM6	18	0	0	0	0	0	0	15	0
P-0038378-T01-IM6	16	9	0	0	0	0	0	0	11
P-0038553-T01-IM6	7	32	0	0	26	0	0	0	0
P-0038612-T02-IM6	4	1	0	0	16	0	0	0	6
P-0038638-T01-IM6	7	14	0	0	0	7	0	0	0
P-0038880-T01-IM6	41	16	0	0	17	0	0	0	0
P-0038908-T01-IM6	8	6	0	0	0	7	0	0	0
P-0039283-T01-IM6	57	19	0	0	40	0	0	0	0
P-0039441-T01-IM6	13	3	0	0	0	0	0	15	0
P-0039443-T01-IM6	25	7	0	0	18	0	0	0	0
P-0039589-T01-IM6	40	26	0	0	31	32	0	0	0
P-0039800-T01-IM6	15	0	0	0	15	0	0	0	0
P-0039938-T01-IM6	19	10	0	0	19	10	0	0	0
P-0039999-T01-IM6	18	0	0	0	0	0	0	19	11
P-0040021-T01-IM6	12	21	0	0	0	0	0	0	0
P-0040107-T01-IM6	9	15	0	0	20	0	0	0	0
P-0040121-T01-IM6	7	11	0	5	13	0	0	0	14
P-0040182-T01-IM6	4	5	0	0	19	13	0	0	0
