Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0047768-T01-IM6	0.00E+00	1.05E+00	1.15E+00	1.39E+00	2.66E-01
P-0047771-T01-IM6	1.17E+00	1.32E+00	4.40E-01	1.63E-01	2.57E-01
P-0047974-T01-IM6	5.65E-01	6.29E-01	3.22E-01	3.64E-01	4.73E-02
P-0048176-T01-IM6	1.64E-01	3.01E-01	4.61E-01	3.20E-01	4.41E-01
P-0048238-T01-IM6	3.94E-02	3.74E-01	2.03E-01	3.97E-01	4.87E-01
P-0048255-T01-IM6	9.47E-02	5.69E-01	5.10E-01	6.74E-01	8.15E-01
P-0048289-T01-IM6	1.30E-01	3.78E-01	3.91E-01	4.76E-01	3.13E-01
P-0048521-T01-IM6	2.23E-02	3.02E-01	2.45E-01	4.25E-01	5.05E-01
P-0048589-T01-IM6	1.51E-01	3.54E-01	4.29E-01	2.39E-01	4.73E-01
P-0048620-T01-IM6	1.14E-01	4.07E-01	4.33E-01	4.53E-01	5.92E-01
P-0048757-T01-IM6	2.21E-01	7.65E-01	4.35E-01	7.91E-01	1.90E-01
P-0048915-T01-IM6	7.30E-02	3.00E-01	3.96E-01	2.69E-01	4.73E-01
P-0048984-T01-IM6	0.00E+00	4.20E-01	3.82E-01	4.49E-01	4.47E-01
P-0049047-T01-IM6	3.28E+00	3.89E+00	4.72E+00	4.47E+00	1.28E+00
P-0049073-T01-IM6	1.53E+00	1.63E+00	8.82E-01	5.26E-01	7.87E-01
P-0049274-T01-IM6	5.83E-01	6.36E-01	3.30E-01	1.35E-01	3.94E-01
P-0049291-T01-IM6	0.00E+00	7.47E-01	6.79E-01	9.51E-01	3.31E-01
P-0049371-T01-IM6	7.15E-01	7.93E-01	2.66E-01	2.87E-01	6.46E-02
P-0049473-T01-IM6	2.23E-02	4.04E-01	4.37E-01	5.09E-01	3.73E-01
P-0049485-T01-IM6	2.38E-01	5.10E-01	8.27E-01	5.85E-01	8.08E-01
P-0049760-T01-IM6	4.42E+00	7.49E+00	3.12E+00	4.93E+00	5.64E-01
P-0049775-T01-IM6	2.05E-01	5.71E-01	4.52E-01	6.50E-01	2.61E-01
P-0049788-T01-IM6	2.74E-01	2.44E-01	1.25E-01	5.20E-02	1.35E-01
P-0049805-T01-IM6	5.88E-02	3.87E-01	3.75E-01	3.95E-01	3.85E-01
P-0049931-T01-IM6	1.63E-01	4.57E-01	5.59E-01	4.91E-01	6.56E-01
P-0050111-T01-IM6	2.22E-01	3.85E-01	5.74E-01	5.11E-01	3.79E-01
P-0050149-T01-IM6	2.10E-01	2.95E-01	3.93E-01	4.68E-01	5.46E-01
