Samples	SBS96A	SBS96B	SBS96C
P-0049047-T01-IM6	2.14E+00	3.18E+00	3.19E+00
P-0049073-T01-IM6	7.58E-01	4.28E-01	7.69E-01
P-0049274-T01-IM6	3.46E-01	2.59E-01	3.42E-01
P-0049291-T01-IM6	0.00E+00	6.46E-01	6.45E-01
P-0049371-T01-IM6	3.69E-01	3.73E-01	8.91E-02
P-0049473-T01-IM6	1.56E-01	4.47E-01	4.08E-01
P-0049485-T01-IM6	2.82E-01	6.01E-01	6.34E-01
P-0049760-T01-IM6	2.32E+00	2.17E+00	5.58E-01
P-0049775-T01-IM6	3.22E-01	5.06E-01	3.98E-01
P-0049788-T01-IM6	1.61E-01	8.47E-02	1.48E-01
P-0049805-T01-IM6	8.91E-02	4.05E-01	3.92E-01
P-0049931-T01-IM6	2.37E-01	5.41E-01	5.15E-01
P-0050111-T01-IM6	2.63E-01	4.94E-01	4.95E-01
P-0050149-T01-IM6	2.19E-01	3.94E-01	4.08E-01
