Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0004169-T01-IM5	6	0.296	10.6	176.667%	2.702	95.53%	2.6614	0.208
P-0004189-T01-IM5	57	0.802	49.42	86.702%	7.378	60.853%	0.66517	0.743
P-0004207-T01-IM5	3	0.096	5.866	195.533%	2.236	99.997%	3.96399	-0.001
P-0004208-T01-IM5	1	0.156	1.93	193.0%	0.99	99.0%	3.34681	0.124
P-0004211-T01-IM5	3	0.285	5.574	185.8%	1.661	95.898%	3.30064	0.23
P-0004232-T01-IM5	5	0.29	8.785	175.7%	2.159	96.553%	2.50799	0.203
P-0004250-T01-IM5	7	0.331	12.352	176.457%	3.13	94.373%	2.5181	0.257
P-0004271-T01-IM5	3	0.365	5.143	171.433%	1.613	93.127%	2.01696	0.324
P-0004279-T01-IM5	2	0.173	3.778	188.9%	1.408	99.561%	4.17427	0.122
P-0004315-T01-IM5	8	0.34	14.144	176.8%	2.975	94.078%	2.29839	0.231
P-0004318-T01-IM5	1	0.263	1.881	188.1%	0.965	96.5%	2.8209	0.245
P-0004324-T01-IM5	13	0.689	16.296	125.354%	2.844	73.432%	1.39499	0.643
P-0004327-T01-IM5	19	0.541	25.466	134.032%	4.206	84.12%	1.3312	0.41
P-0004328-T02-IM5	5	0.324	8.915	178.3%	2.116	94.63%	2.50644	0.236
P-0004335-T01-IM5	3	0.315	5.529	184.3%	1.648	95.147%	2.58623	0.274
P-0004336-T01-IM5	2	0.319	3.592	179.6%	1.34	94.752%	2.71732	0.287
P-0004339-T04-IM6	19	0.671	22.712	119.537%	4.273	74.383%	1.18943	0.617
P-0004342-T01-IM5	1	0.156	1.93	193.0%	0.99	99.0%	3.34681	0.124
P-0004344-T01-IM5	1	0.051	1.977	197.7%	1.014	101.4%	4.47005	0.005
P-0004359-T01-IM5	4	0.193	7.464	186.6%	1.986	99.3%	3.82743	0.092
P-0004361-T02-IM5	13	0.475	19.615	150.885%	4.034	88.029%	1.82773	0.393
