Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0046954-T01-IM6	10	0.424	16.49	164.9%	2.864	90.568%	2.02054	0.291
P-0047056-T01-IM6	78	0.844	67.637	86.714%	12.39	53.717%	0.71163	0.821
P-0047121-T01-IM6	25	0.9	20.637	82.548%	4.5	44.34%	0.7024	0.893
P-0047196-T01-IM6	30	0.928	20.581	68.603%	3.8	38.0%	0.91199	0.921
P-0047599-T01-IM6	91	0.951	47.263	51.937%	9.92	30.925%	0.33058	0.947
P-0047601-T01-IM6	30	0.758	32.046	106.82%	5.403	65.521%	1.08843	0.712
P-0047632-T01-IM6	49	0.907	35.969	73.406%	6.783	42.311%	0.63486	0.897
P-0047822-T01-IM6	46	0.89	32.997	71.733%	5.387	46.193%	0.82641	0.867
P-0047850-T01-IM6	49	0.894	35.163	71.761%	7.72	44.796%	0.61447	0.884
P-0047862-T01-IM6	35	0.891	29.05	83.0%	5.473	45.451%	0.82631	0.879
P-0047886-T01-IM6	48	0.822	42.527	88.598%	6.785	57.758%	0.75089	0.782
P-0048082-T01-IM6	40	0.776	42.491	106.228%	8.878	63.74%	1.02864	0.753
P-0048215-T01-IM6	470	0.978	162.767	34.631%	35.37	21.529%	0.17743	0.976
P-0048221-T01-IM6	78	0.945	46.062	59.054%	8.344	33.564%	0.43505	0.939
P-0048257-T01-IM6	34	0.747	35.232	103.624%	5.735	66.668%	1.05404	0.688
P-0048271-T01-IM6	27	0.959	15.172	56.193%	3.127	28.427%	0.63086	0.956
P-0048660-T01-IM6	25	0.894	19.7	78.8%	3.578	45.812%	0.90546	0.881
P-0048893-T01-IM6	41	0.752	44.754	109.156%	8.192	66.228%	1.04439	0.715
P-0049064-T01-IM6	51	0.873	38.244	74.988%	6.073	49.097%	0.67308	0.843
P-0049202-T01-IM6	173	0.982	60.337	34.877%	13.84	18.752%	0.28228	0.981
P-0049359-T01-IM6	29	0.771	30.583	105.459%	6.523	63.658%	0.95983	0.747
P-0049376-T01-IM6	45	0.889	34.666	77.036%	5.955	46.36%	0.70313	0.872
P-0049486-T01-IM6	20	0.879	17.977	89.885%	3.708	49.55%	0.81474	0.87
P-0049600-T01-IM6	17	0.929	12.788	75.224%	2.979	43.453%	0.54665	0.928
P-0049633-T01-IM6	29	0.856	23.194	79.979%	4.415	52.396%	1.02553	0.835
P-0049661-T01-IM6	34	0.951	19.794	58.218%	3.414	31.698%	0.49601	0.945
P-0049762-T01-IM6	33	0.866	29.001	87.882%	5.419	50.099%	0.87784	0.851
P-0049970-T01-IM6	60	0.823	51.465	85.775%	9.844	56.834%	0.71972	0.795
P-0050263-T01-IM6	281	0.979	105.699	37.615%	26.018	21.008%	0.25517	0.978
P-0050266-T01-IM6	47	0.773	45.241	96.257%	7.414	63.81%	0.88711	0.719
