Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0028274-T01-IM6	6.97E-01	7.96E-01	6.61E-01	0.00E+00	6.71E-01	3.60E-01
P-0028344-T01-IM6	4.15E-01	4.83E-01	3.93E-01	1.78E-01	4.49E-01	1.52E-01
P-0028474-T01-IM6	6.33E-01	1.06E+00	9.12E-01	1.77E-01	1.05E+00	6.89E-01
P-0028485-T01-IM6	8.30E-01	1.04E+00	7.79E-01	3.33E-01	6.43E-01	8.74E-01
P-0028571-T01-IM6	5.65E-01	5.67E-01	4.47E-01	1.00E-02	5.40E-01	4.00E-01
P-0028891-T01-IM6	1.01E+00	9.68E-01	1.06E+00	1.07E-01	9.81E-01	5.52E-01
P-0028979-T01-IM6	5.53E-01	6.15E-01	7.01E-01	3.00E-02	9.31E-01	9.39E-01
P-0029114-T01-IM6	8.96E-02	4.83E-01	5.67E-01	1.30E-01	4.79E-01	6.41E-01
P-0029169-T01-IM6	6.30E-01	7.36E-01	3.80E-01	1.90E-01	2.68E-01	2.31E-01
P-0029398-T01-IM6	6.07E-01	6.94E-01	5.57E-01	2.64E-01	4.88E-01	4.24E-01
P-0029399-T01-IM6	4.58E-01	4.42E-01	7.07E-01	3.42E-01	7.50E-01	5.82E-01
P-0029495-T03-IM6	7.07E-01	6.85E-01	5.02E-01	0.00E+00	3.81E-01	2.78E-01
P-0029646-T01-IM6	6.08E-01	9.12E-01	1.19E+00	2.21E-01	1.07E+00	9.12E-01
P-0029980-T01-IM6	8.70E-01	8.51E-01	6.21E-01	2.95E-01	7.16E-01	6.52E-01
P-0030244-T01-IM6	4.66E-01	8.21E-01	8.08E-01	1.32E-01	5.89E-01	8.11E-01
P-0030265-T01-IM6	2.39E+00	2.80E+00	1.13E+00	2.20E-01	1.16E+00	7.06E-01
P-0030636-T01-IM6	4.44E-01	2.85E-01	3.90E-01	3.43E-02	4.96E-01	3.96E-01
P-0030708-T01-IM6	6.78E-01	8.23E-01	6.95E-01	0.00E+00	7.54E-01	6.19E-01
P-0030774-T01-IM6	7.05E-01	6.88E-01	6.49E-01	8.05E-02	6.26E-01	5.67E-01
P-0030960-T01-IM6	4.99E-01	6.00E-01	5.28E-01	1.77E-01	4.66E-01	4.31E-01
P-0030988-T01-IM6	5.78E-01	6.23E-01	5.34E-01	5.03E-02	6.48E-01	6.38E-01
P-0031050-T01-IM6	4.27E-01	4.94E-01	3.97E-01	1.41E-02	4.82E-01	5.58E-01
P-0031091-T01-IM6	6.70E-01	9.03E-01	6.32E-01	1.50E-01	7.34E-01	5.47E-01
P-0031146-T01-IM6	4.57E-01	4.59E-01	3.09E-01	1.34E-01	2.28E-01	2.89E-01
P-0031207-T01-IM6	4.73E-01	4.14E-01	4.62E-01	0.00E+00	6.63E-01	7.45E-01
P-0031496-T01-IM6	7.28E-01	8.10E-01	5.80E-01	6.07E-02	6.09E-01	4.82E-01
P-0032060-T01-IM6	7.96E-01	8.50E-01	5.06E-01	1.96E-01	5.19E-01	6.17E-01
P-0032698-T01-IM6	5.87E-01	6.52E-01	4.35E-01	1.50E-01	7.22E-01	3.79E-01
P-0032718-T01-IM6	3.77E-01	7.88E-01	7.55E-01	2.15E-01	8.03E-01	8.79E-01
P-0032777-T01-IM6	2.39E-01	5.38E-01	5.90E-01	3.28E-01	7.77E-01	5.90E-01
P-0033100-T01-IM6	5.53E-01	5.86E-01	5.49E-01	2.05E-01	7.83E-01	5.77E-01
