Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0042615-T01-IM6	23	0	4	2	9	0
P-0042737-T01-IM6	12	11	7	1	11	0
P-0042880-T01-IM6	8	0	10	0	9	0
P-0043005-T01-IM6	24	14	13	3	11	0
P-0043052-T01-IM6	45	5	19	0	24	0
P-0043087-T01-IM6	29	19	11	1	0	27
P-0043095-T01-IM6	20	5	7	1	1	22
P-0043154-T01-IM6	24	1	10	2	15	0
P-0043169-T01-IM6	1	7	1	0	3	6
P-0043595-T01-IM6	24	6	14	0	10	2
P-0043599-T01-IM6	9	4	1	2	0	23
P-0043781-T01-IM6	5	0	3	0	0	28
P-0043907-T01-IM6	34	0	0	0	8	8
P-0044184-T01-IM6	12	15	2	0	24	0
P-0044217-T01-IM6	11	0	0	0	5	5
P-0044329-T01-IM6	23	5	0	0	10	14
P-0044371-T01-IM6	7	6	7	1	0	45
P-0044406-T01-IM6	14	2	12	0	0	9
P-0044484-T01-IM6	15	11	2	3	2	5
P-0044540-T01-IM6	7	24	4	6	0	4
P-0044544-T01-IM6	17	0	0	0	8	11
P-0044576-T01-IM6	13	0	0	0	0	19
P-0044645-T01-IM6	61	23	0	0	0	1
P-0044666-T01-IM6	6	20	0	0	0	3
P-0044791-T01-IM6	23	16	0	0	0	2
P-0044805-T01-IM6	16	3	5	0	3	4
P-0044833-T01-IM6	29	3	4	0	23	0
P-0044858-T01-IM6	16	0	0	2	0	11
P-0045009-T01-IM6	6	13	6	0	1	0
P-0045111-T01-IM6	16	3	9	2	21	0
P-0045223-T01-IM6	1	6	1	1	0	12
P-0045253-T01-IM6	14	2	0	0	2	20
P-0045320-T01-IM6	9	3	10	1	4	3
P-0045366-T01-IM6	12	12	0	0	0	9
P-0045460-T01-IM6	6	4	6	0	7	6
P-0045471-T01-IM6	1	15	2	1	0	4
P-0045547-T01-IM6	7	1	0	2	6	2
P-0045569-T01-IM6	25	19	0	0	9	15
P-0045713-T01-IM6	12	0	6	0	2	1
P-0045823-T01-IM6	8	18	0	0	12	0
P-0045984-T01-IM6	32	5	15	0	0	2
P-0046035-T01-IM6	13	0	0	3	1	9
P-0046229-T01-IM6	8	6	0	1	5	11
P-0046266-T01-IM6	11	1	0	0	24	5
P-0046311-T01-IM6	7	3	16	2	0	0
P-0046312-T01-IM6	30	0	0	1	6	0
P-0046394-T01-IM6	20	3	0	0	8	4
P-0046492-T01-IM6	14	1	15	0	5	0
P-0046698-T01-IM6	36	29	10	1	21	4
P-0046738-T01-IM6	5	17	1	0	1	0
P-0046739-T01-IM6	23	14	0	0	3	6
P-0046759-T01-IM6	15	13	0	1	0	11
P-0046843-T01-IM6	33	4	5	1	0	28
P-0046954-T01-IM6	1	0	2	0	5	2
P-0047056-T01-IM6	19	17	7	1	16	18
P-0047121-T01-IM6	16	5	1	0	0	3
P-0047196-T01-IM6	16	8	0	0	3	3
P-0047599-T01-IM6	52	5	21	0	13	0
P-0047601-T01-IM6	3	11	4	0	2	10
P-0047632-T01-IM6	18	22	0	0	8	1
P-0047822-T01-IM6	16	0	3	0	19	8
P-0047850-T01-IM6	30	1	4	0	10	4
P-0047862-T01-IM6	9	11	4	0	7	4
P-0047886-T01-IM6	14	4	5	3	1	21
P-0048082-T01-IM6	21	0	3	0	11	5
P-0048215-T01-IM6	0	67	229	174	0	0
P-0048221-T01-IM6	28	28	9	0	7	6
P-0048257-T01-IM6	4	7	0	6	13	4
P-0048271-T01-IM6	17	0	8	0	2	0
P-0048660-T01-IM6	13	2	0	0	0	10
P-0048893-T01-IM6	20	0	3	3	11	4
P-0049064-T01-IM6	4	17	12	0	0	18
P-0049202-T01-IM6	2	6	24	140	1	0
P-0049359-T01-IM6	17	0	4	0	6	2
P-0049376-T01-IM6	22	0	3	0	9	11
P-0049486-T01-IM6	6	8	0	0	0	6
P-0049600-T01-IM6	5	5	1	0	6	0
P-0049633-T01-IM6	4	13	0	0	2	10
P-0049661-T01-IM6	11	10	7	0	4	2
P-0049762-T01-IM6	8	12	6	1	6	0
P-0049970-T01-IM6	23	4	4	6	14	9
P-0050263-T01-IM6	0	0	137	144	0	0
P-0050266-T01-IM6	7	0	9	2	29	0
