Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0005537-T01-IM5	3	0.141	5.808	193.6%	1.721	99.362%	3.68744	0.005
P-0005543-T02-IM5	12	0.326	20.252	168.767%	3.557	95.065%	2.3113	0.125
P-0005544-T01-IM5	5	0.207	9.394	187.88%	2.196	98.208%	3.0507	0.048
P-0005553-T01-IM5	3	0.44	4.481	149.367%	1.573	90.817%	3.20851	0.411
P-0005562-T01-IM5	2	0.445	3.325	166.25%	1.27	89.803%	2.74154	0.427
P-0005567-T01-IM5	10	0.492	14.609	146.09%	3.02	87.18%	2.13892	0.413
P-0005573-T01-IM5	3	0.283	5.421	180.7%	1.664	96.071%	2.92659	0.227
P-0005580-T01-IM5	1	0.047	1.988	198.8%	1.002	100.2%	5.09476	-0.053
P-0005629-T02-IM5	3	0.17	5.77	192.333%	1.71	98.727%	3.72889	0.051
P-0005633-T01-IM5	1	0.073	1.981	198.1%	0.999	99.9%	4.65351	-0.011
P-0005644-T01-IM5	1	0.222	1.917	191.7%	0.976	97.6%	3.18698	0.2
P-0005645-T02-IM5	9	0.348	14.738	163.756%	2.9	96.667%	2.67555	0.231
P-0005694-T01-IM5	7	0.358	11.538	164.829%	2.496	94.34%	2.62231	0.26
P-0005707-T01-IM5	16	0.403	24.101	150.631%	3.958	93.291%	1.69838	0.215
P-0005711-T01-IM5	2	0.289	3.211	160.55%	1.463	103.45%	3.50986	0.268
P-0005721-T01-IM5	6	0.344	10.005	166.75%	2.324	94.877%	2.81172	0.26
P-0005734-T02-IM5	7	0.342	11.645	166.357%	2.744	103.713%	3.15069	0.275
P-0005743-T02-IM5	3	0.447	4.455	148.5%	1.565	90.355%	2.79509	0.419
P-0005752-T01-IM5	4	0.182	7.461	186.525%	2.003	100.15%	3.10277	0.085
P-0005763-T01-IM5	1	0.757	1.27	127.0%	0.709	70.9%	1.00768	0.757
P-0005786-T01-IM5	1	0.074	1.981	198.1%	0.999	99.9%	4.6348	-0.009
P-0005845-T01-IM5	3	0.478	4.349	144.967%	1.531	88.392%	2.61789	0.452
P-0005847-T01-IM5	5	0.513	5.92	118.4%	2.073	92.707%	2.69648	0.482
P-0005848-T01-IM5	17	0.666	21.5	126.471%	4.16	74.716%	1.2755	0.62
P-0005849-T01-IM5	10	0.512	14.347	143.47%	2.977	85.939%	1.74284	0.439
P-0005850-T01-IM5	13	0.675	14.4	110.769%	2.662	73.831%	1.65483	0.608
P-0005863-T01-IM5	1	0.148	1.961	196.1%	0.989	98.9%	3.94268	0.11
P-0005868-T02-IM5	3	0.381	5.454	181.8%	2.084	93.199%	2.4947	0.366
P-0005871-T01-IM5	3	0.078	5.893	196.433%	1.746	100.805%	4.09773	-0.097
P-0005872-T01-IM5	1	0.179	1.933	193.3%	0.984	98.4%	3.40228	0.148
P-0005873-T02-IM6	10	0.652	11.69	116.9%	3.434	80.94%	2.22527	0.629
P-0005881-T02-IM5	6	0.497	9.426	157.1%	2.131	86.998%	1.99951	0.447
P-0005895-T01-IM5	5	0.651	5.495	109.9%	1.801	80.543%	2.5907	0.63
P-0005897-T02-IM5	4	0.262	7.29	182.25%	1.936	96.8%	3.02207	0.178
P-0005903-T01-IM5	10	0.366	16.938	169.38%	3.228	93.184%	2.09584	0.233
P-0005925-T02-IM5	15	0.621	19.398	129.32%	3.834	79.944%	1.87677	0.567
P-0005927-T01-IM5	4	0.151	7.685	192.125%	1.99	99.5%	3.30221	-0.014
P-0005942-T01-IM5	3	0.113	5.847	194.9%	1.732	99.997%	4.10597	-0.041
P-0005959-T01-IM5	8	0.354	13.287	166.088%	2.669	94.363%	2.46336	0.235
P-0005962-T01-IM5	2	0.149	3.89	194.5%	1.399	98.924%	3.59409	0.058
P-0005974-T01-IM5	4	0.431	4.677	116.925%	2.096	104.8%	3.10516	0.405
P-0005975-T01-IM5	8	0.549	12.189	152.362%	2.386	84.358%	1.62756	0.5
P-0005981-T01-IM5	8	0.388	13.284	166.05%	2.914	92.149%	2.26651	0.3
P-0005985-T01-IM5	7	0.567	9.016	128.8%	2.191	82.812%	2.07992	0.52
P-0005990-T01-IM5	2	0.34	2.799	139.95%	1.534	108.47%	4.31796	0.324
P-0006002-T01-IM5	1	0.03	1.989	198.9%	1.012	101.2%	5.19946	-0.032
