"alternation","TO","alternation_freq1","alternation_freq2","bg_color","triangle_color","pval","TO_color","alt_TO"
"AR_mut","Distant_LN",0.023762376,0.058510638,"#be1e2d","green",0.00024047,"#D480CE","AR_mut       Distant_LN"
"AR_mut","Bone",0.016051364,0.050921861,"#be1e2d","green",0.000148564,"#7E90CF","AR_mut       Bone"
"AR_Amplification","Male_Genital",0.167058824,0.106776181,"#be1e2d","red",0.001332369,"#D4DB92","AR_Amplification       Male_Genital"
"AR_Amplification","Lung",0.138613861,0.222672065,"#be1e2d","red",0.001041717,"#D9C3DE","AR_Amplification       Lung"
"AR_Amplification","CNS.Brain",0.136502133,0.338842975,"#be1e2d","red",8.9e-08,"#EEDD57","AR_Amplification       CNS.Brain"
"AR_Amplification","PNS",0.125255276,0.276450512,"#be1e2d","red",6.09e-10,"#DFB79C","AR_Amplification       PNS"
"AR_Amplification","Intra-Abdominal",0.131677019,0.348684211,"#be1e2d","red",1.29e-10,"#8067D6","AR_Amplification       Intra-Abdominal"
"AR_Amplification","Liver",0.118791946,0.323529412,"#be1e2d","red",1.93e-15,"#87DFB3","AR_Amplification       Liver"
"AR_Amplification","Distant_LN",0.082178218,0.242021277,"#be1e2d","red",3.03e-20,"#D480CE","AR_Amplification       Distant_LN"
"AR_Amplification","Bone",0.046548957,0.207199298,"#be1e2d","red",2.81e-22,"#7E90CF","AR_Amplification       Bone"
"APC_mut","PNS",0.055139551,0.09556314,"#be1e2d","green",0.011533716,"#DFB79C","APC_mut       PNS"
"APC_mut","Bowel",0.778716216,0.715789474,"#007eb5","green",0.001668105,"#E29B50","APC_mut       Bowel"
"APC_mut","Liver",0.052348993,0.113970588,"#be1e2d","green",0.000311424,"#87DFB3","APC_mut       Liver"
"APC_mut","Lung",0.052145215,0.12145749,"#be1e2d","green",0.00015111,"#D9C3DE","APC_mut       Lung"
"APC_mut","Liver",0.713697219,0.792577529,"#007eb5","green",2.74e-06,"#87DFB3","APC_mut       Liver"
"APC_mut","Intra-Abdominal",0.799081515,0.719063545,"#007eb5","green",6.36e-07,"#8067D6","APC_mut       Intra-Abdominal"
"WNT","Liver",0.136241611,0.227941176,"#be1e2d","navy",0.00020595,"#87DFB3","WNT       Liver"
"WNT","Lung",0.133333333,0.255060729,"#be1e2d","navy",3.13e-06,"#D9C3DE","WNT       Lung"
"RTK_RAS","Intra-Abdominal",0.131055901,0.203947368,"#be1e2d","navy",0.018449745,"#8067D6","RTK_RAS       Intra-Abdominal"
"RTK_RAS","Liver",0.126845638,0.194852941,"#be1e2d","navy",0.003939159,"#87DFB3","RTK_RAS       Liver"
"PI3K","PNS",0.313818924,0.385665529,"#be1e2d","navy",0.020152106,"#DFB79C","PI3K       PNS"
"PI3K","Intra-Abdominal",0.314285714,0.447368421,"#be1e2d","navy",0.001081634,"#8067D6","PI3K       Intra-Abdominal"
"PI3K","Bladder.UT",0.30480167,0.418461538,"#be1e2d","navy",0.000106735,"#D1E3D5","PI3K       Bladder.UT"
"PI3K","Distant_LN",0.281188119,0.385638298,"#be1e2d","navy",4.65e-06,"#D480CE","PI3K       Distant_LN"
"PI3K","Bone",0.253611557,0.36523266,"#be1e2d","navy",1.64e-06,"#7E90CF","PI3K       Bone"
"PI3K","Lung",0.300990099,0.477732794,"#be1e2d","navy",1.06e-07,"#D9C3DE","PI3K       Lung"
"PI3K","Liver",0.295302013,0.492647059,"#be1e2d","navy",6.31e-10,"#87DFB3","PI3K       Liver"
"p53","Lung",0.35049505,0.441295547,"#be1e2d","navy",0.006680449,"#D9C3DE","p53       Lung"
"p53","CNS.Brain",0.352833638,0.504132231,"#be1e2d","navy",0.001158697,"#EEDD57","p53       CNS.Brain"
"p53","PNS",0.344452008,0.457337884,"#be1e2d","navy",0.000317948,"#DFB79C","p53       PNS"
"p53","Bladder.UT",0.339596381,0.467692308,"#be1e2d","navy",1.83e-05,"#D1E3D5","p53       Bladder.UT"
"p53","Bowel",0.349848943,0.570093458,"#be1e2d","navy",9.93e-06,"#E29B50","p53       Bowel"
"p53","Intra-Abdominal",0.347204969,0.532894737,"#be1e2d","navy",8.79e-06,"#8067D6","p53       Intra-Abdominal"
"p53","Distant_LN",0.308910891,0.436170213,"#be1e2d","navy",4.61e-08,"#D480CE","p53       Distant_LN"
"p53","Liver",0.333557047,0.525735294,"#be1e2d","navy",2.85e-09,"#87DFB3","p53       Liver"
"p53","Bone",0.258426966,0.420544337,"#be1e2d","navy",9.65e-12,"#7E90CF","p53       Bone"
"NOTCH","CNS.Brain",0.051797684,0.115702479,"#be1e2d","navy",0.00685031,"#EEDD57","NOTCH       CNS.Brain"
"MYC","Bone",0.077046549,0.121158911,"#be1e2d","navy",0.004422078,"#7E90CF","MYC       Bone"
"MYC","Intra-Abdominal",0.097515528,0.190789474,"#be1e2d","navy",0.00083636,"#8067D6","MYC       Intra-Abdominal"
"MYC","Liver",0.093959732,0.169117647,"#be1e2d","navy",0.000527206,"#87DFB3","MYC       Liver"
"MYC","PNS",0.093260722,0.167235495,"#be1e2d","navy",0.000362008,"#DFB79C","MYC       PNS"
"MYC","Distant_LN",0.077227723,0.143617021,"#be1e2d","navy",9.99e-06,"#D480CE","MYC       Distant_LN"
"Epigenetic","Bone",0.18459069,0.250219491,"#be1e2d","navy",0.001613796,"#7E90CF","Epigenetic       Bone"
"Epigenetic","PNS",0.211708645,0.303754266,"#be1e2d","navy",0.000982578,"#DFB79C","Epigenetic       PNS"
"DDR","Male_Genital",0.155294118,0.203285421,"#be1e2d","navy",0.01877009,"#D4DB92","DDR       Male_Genital"
"DDR","Intra-Abdominal",0.161490683,0.243421053,"#be1e2d","navy",0.012540027,"#8067D6","DDR       Intra-Abdominal"
"DDR","PNS",0.155207624,0.235494881,"#be1e2d","navy",0.001142724,"#DFB79C","DDR       PNS"
"DDR","Bladder.UT",0.152400835,0.24,"#be1e2d","navy",0.000284851,"#D1E3D5","DDR       Bladder.UT"
"DDR","Distant_LN",0.137623762,0.210106383,"#be1e2d","navy",6.51e-05,"#D480CE","DDR       Distant_LN"
"DDR","Bone",0.115569823,0.197541703,"#be1e2d","navy",7.78e-06,"#7E90CF","DDR       Bone"
"Cell_Cycle","Bladder.UT",0.160055672,0.218461538,"#be1e2d","navy",0.014199706,"#D1E3D5","Cell_Cycle       Bladder.UT"
"Cell_Cycle","CNS.Brain",0.162705667,0.280991736,"#be1e2d","navy",0.001614414,"#EEDD57","Cell_Cycle       CNS.Brain"
"Cell_Cycle","Intra-Abdominal",0.160248447,0.282894737,"#be1e2d","navy",0.000279057,"#8067D6","Cell_Cycle       Intra-Abdominal"
"Cell_Cycle","PNS",0.155207624,0.249146758,"#be1e2d","navy",0.000173018,"#DFB79C","Cell_Cycle       PNS"
"Cell_Cycle","Bowel",0.161329305,0.317757009,"#be1e2d","navy",0.000102025,"#E29B50","Cell_Cycle       Bowel"
"Cell_Cycle","Lung",0.155775578,0.263157895,"#be1e2d","navy",7.83e-05,"#D9C3DE","Cell_Cycle       Lung"
"Cell_Cycle","Distant_LN",0.13960396,0.212765957,"#be1e2d","navy",6.95e-05,"#D480CE","Cell_Cycle       Distant_LN"
"Cell_Cycle","Bone",0.112359551,0.202809482,"#be1e2d","navy",8.74e-07,"#7E90CF","Cell_Cycle       Bone"
"Cell_Cycle","Liver",0.145637584,0.308823529,"#be1e2d","navy",7.61e-10,"#87DFB3","Cell_Cycle       Liver"
"TP53_mut","Liver",0.655172414,0.804716981,"#355a91","green",2.46e-11,"#87DFB3","TP53_mut       Liver"
"MYC_Amplification","Intra-Abdominal",0.054639175,0.022889843,"#355a91","red",0.001116135,"#8067D6","MYC_Amplification       Intra-Abdominal"
"CDKN2A_Deletion","Liver",0.093596059,0.16509434,"#355a91","blue",3.65e-05,"#87DFB3","CDKN2A_Deletion       Liver"
"AKT2_Amplification","Liver",0.016420361,0.053773585,"#355a91","red",0.000131864,"#87DFB3","AKT2_Amplification       Liver"
"PI3K","Liver",0.062397373,0.116037736,"#355a91","navy",0.000283285,"#87DFB3","PI3K       Liver"
"p53","Liver",0.674876847,0.821698113,"#355a91","navy",1.7e-11,"#87DFB3","p53       Liver"
"MYC","Liver",0.027914614,0.063207547,"#355a91","navy",0.001532884,"#87DFB3","MYC       Liver"
"Epigenetic","Liver",0.167487685,0.264150943,"#355a91","navy",5.32e-06,"#87DFB3","Epigenetic       Liver"
"Cell_Cycle","Bowel",0.320197044,0.246119734,"#355a91","navy",0.003221778,"#E29B50","Cell_Cycle       Bowel"
"Cell_Cycle","Liver",0.23316913,0.338679245,"#355a91","navy",5.26e-06,"#87DFB3","Cell_Cycle       Liver"
"TP53_mut","Distant_LN",0.626666667,0.39869281,"#049347","green",1.57e-05,"#D480CE","TP53_mut       Distant_LN"
"p53","Distant_LN",0.635555556,0.424836601,"#049347","navy",6.15e-05,"#D480CE","p53       Distant_LN"
"MYC","Lung",0.100558659,0.015075377,"#049347","navy",0.000418051,"#D9C3DE","MYC       Lung"
"TP53_mut","CNS.Brain",0.277207392,0.165938865,"#4ebe03","green",0.001046472,"#EEDD57","TP53_mut       CNS.Brain"
"PTEN_mut","CNS.Brain",0.067761807,0.144104803,"#4ebe03","green",0.001392528,"#EEDD57","PTEN_mut       CNS.Brain"
"p53","CNS.Brain",0.344969199,0.213973799,"#4ebe03","navy",0.000344748,"#EEDD57","p53       CNS.Brain"
"CDKN2A_Deletion","CNS.Brain",0.01754386,0.181818182,"#cccc33","blue",0.00038336,"#EEDD57","CDKN2A_Deletion       CNS.Brain"
