Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0036831-T01-IM6	43	0.917	28.787	66.947%	4.524	39.832%	0.53597	0.902
P-0036852-T01-IM6	59	0.896	39.398	66.776%	5.844	45.222%	0.47953	0.866
P-0036924-T01-IM6	45	0.839	35.193	78.207%	6.079	54.812%	0.69299	0.804
P-0037227-T01-IM6	32	0.875	25.788	80.588%	4.494	48.46%	0.90548	0.856
P-0037246-T01-IM6	26	0.885	18.911	72.735%	3.709	47.104%	0.70356	0.869
P-0037410-T01-IM6	66	0.905	42.29	64.076%	6.844	42.609%	0.42622	0.884
P-0037531-T01-IM6	110	0.924	66.539	60.49%	14.042	40.136%	0.43279	0.916
P-0037582-T01-IM6	31	0.896	23.335	75.274%	4.703	45.047%	0.8014	0.885
P-0037838-T02-IM6	31	0.92	21.479	69.287%	3.759	39.405%	0.67737	0.91
P-0037867-T01-IM6	45	0.881	35.325	78.5%	5.552	47.434%	0.82541	0.857
P-0037875-T01-IM6	45	0.887	30.928	68.729%	5.316	46.446%	0.54562	0.864
P-0037898-T01-IM6	216	0.995	54.936	25.433%	10.014	11.504%	0.13019	0.995
P-0038159-T01-IM6	33	0.875	27.458	83.206%	6.08	49.809%	0.72668	0.865
P-0038378-T01-IM6	36	0.799	33.75	93.75%	6.795	60.535%	0.7781	0.772
P-0038553-T01-IM6	65	0.889	43.369	66.722%	7.022	50.03%	0.54791	0.861
P-0038612-T02-IM6	27	0.861	21.425	79.352%	4.045	50.962%	0.67189	0.84
P-0038638-T01-IM6	28	0.766	23.857	85.204%	4.9	64.34%	0.9593	0.721
P-0038880-T01-IM6	74	0.973	33.204	44.87%	5.989	23.674%	0.36308	0.97
P-0038908-T01-IM6	21	0.842	20.232	96.343%	4.023	57.471%	0.8622	0.832
P-0039283-T01-IM6	116	0.977	47.379	40.844%	8.118	21.304%	0.30799	0.975
P-0039441-T01-IM6	31	0.87	24.694	79.658%	4.551	49.363%	0.64598	0.851
P-0039443-T01-IM6	50	0.953	28.079	56.158%	5.716	31.561%	0.37824	0.949
P-0039589-T01-IM6	129	0.911	73.473	56.956%	13.61	41.205%	0.32136	0.894
P-0039800-T01-IM6	30	0.974	14.082	46.94%	2.865	23.087%	0.47565	0.973
P-0039938-T01-IM6	58	0.953	31.99	55.155%	5.289	30.638%	0.42257	0.946
P-0039999-T01-IM6	48	0.89	34.794	72.488%	5.825	46.051%	0.52483	0.871
P-0040021-T01-IM6	33	0.846	26.485	80.258%	4.999	53.595%	0.68261	0.82
