Samples	SBS96A	SBS96B
P-0004108-T01-IM5	1	0
P-0004110-T01-IM5	4	0
P-0004113-T01-IM5	1	1
P-0004114-T01-IM5	27	17
P-0004117-T01-IM5	2	1
P-0004123-T01-IM5	3	0
P-0004124-T01-IM5	8	1
P-0004129-T02-IM5	4	2
P-0004131-T01-IM5	6	1
P-0004146-T01-IM5	0	14
P-0004169-T01-IM5	3	3
P-0004189-T01-IM5	31	26
P-0004207-T01-IM5	2	1
P-0004208-T01-IM5	0	1
P-0004211-T01-IM5	2	1
P-0004232-T01-IM5	1	4
P-0004250-T01-IM5	6	1
P-0004271-T01-IM5	0	3
P-0004279-T01-IM5	0	2
P-0004315-T01-IM5	6	2
P-0004318-T01-IM5	0	1
P-0004324-T01-IM5	4	9
P-0004327-T01-IM5	15	4
P-0004328-T02-IM5	4	1
P-0004335-T01-IM5	2	1
P-0004336-T01-IM5	0	2
P-0004339-T04-IM6	4	15
P-0004342-T01-IM5	0	1
P-0004344-T01-IM5	0	1
P-0004359-T01-IM5	4	0
P-0004361-T02-IM5	13	0
P-0004378-T01-IM5	2	1
P-0004382-T01-IM5	10	19
P-0004395-T01-IM5	5	3
P-0004410-T01-IM5	4	9
P-0004414-T01-IM5	1	1
P-0004421-T01-IM5	3	1
P-0004432-T01-IM5	0	4
P-0004436-T01-IM5	1	4
P-0004438-T01-IM5	4	1
P-0004442-T01-IM5	25	8
P-0004447-T01-IM5	3	1
P-0004463-T01-IM5	0	7
P-0004472-T01-IM5	10	3
P-0004476-T01-IM5	6	1
P-0004488-T01-IM5	6	3
P-0004516-T02-IM5	0	1
P-0004588-T01-IM5	5	0
P-0004591-T01-IM5	3	0
P-0004607-T03-IM5	0	5
P-0004612-T01-IM5	0	3
P-0004613-T01-IM5	0	2
P-0004615-T01-IM5	12	2
P-0004643-T01-IM5	2	5
P-0004655-T01-IM5	0	2
P-0004658-T01-IM5	0	11
P-0004659-T01-IM5	9	1
P-0004678-T01-IM5	0	2
P-0004687-T01-IM5	14	18
P-0004693-T01-IM5	7	3
P-0004695-T01-IM5	0	6
P-0004696-T01-IM5	0	4
P-0004699-T01-IM5	9	6
P-0004709-T01-IM5	4	1
P-0004714-T01-IM5	12	1
P-0004718-T01-IM5	3	1
P-0004725-T01-IM5	1	1
P-0004729-T02-IM6	3	3
P-0004739-T02-IM6	2	2
P-0004743-T01-IM5	1	2
P-0004747-T01-IM5	1	0
P-0004752-T03-IM6	1	0
P-0004759-T01-IM5	1	0
P-0004790-T01-IM5	1	5
P-0004802-T01-IM5	7	3
P-0004847-T01-IM5	1	1
P-0004858-T02-IM5	7	0
P-0004860-T01-IM5	4	8
P-0004861-T01-IM5	1	6
P-0004863-T01-IM5	29	10
P-0004873-T01-IM5	6	3
P-0004875-T01-IM5	6	4
P-0004878-T01-IM5	1	0
P-0004882-T01-IM5	4	0
P-0004890-T01-IM5	8	3
P-0004891-T01-IM5	7	4
P-0004927-T01-IM5	2	2
P-0004934-T01-IM5	14	0
P-0004961-T02-IM5	2	2
P-0004988-T01-IM5	5	4
P-0004990-T01-IM5	5	2
P-0004995-T01-IM5	1	2
P-0005017-T02-IM5	0	3
P-0005020-T01-IM5	3	0
P-0005024-T01-IM5	4	2
P-0005034-T01-IM5	1	5
P-0005048-T01-IM5	0	3
P-0005059-T01-IM5	1	3
P-0005063-T01-IM5	0	1
P-0005069-T01-IM5	2	0
P-0005080-T01-IM5	22	13
P-0005094-T01-IM5	3	0
P-0005114-T03-IM6	4	3
P-0005123-T01-IM5	7	0
P-0005148-T01-IM5	0	8
P-0005170-T01-IM5	0	4
P-0005173-T01-IM5	10	4
P-0005178-T01-IM5	0	4
P-0005179-T01-IM5	9	3
P-0005190-T01-IM5	3	0
P-0005191-T01-IM5	7	2
P-0005194-T01-IM5	13	2
P-0005198-T01-IM5	2	0
P-0005259-T01-IM5	0	3
P-0005261-T01-IM5	8	1
P-0005264-T03-IM6	2	4
P-0005277-T02-IM5	0	4
P-0005282-T01-IM5	4	9
P-0005286-T01-IM5	0	2
P-0005289-T01-IM5	6	4
P-0005295-T01-IM5	3	1
P-0005316-T01-IM5	2	7
P-0005320-T01-IM5	6	0
P-0005337-T01-IM5	0	4
P-0005380-T01-IM5	5	7
P-0005393-T01-IM5	5	3
P-0005435-T01-IM5	1	1
P-0005464-T01-IM5	0	4
P-0005476-T01-IM5	14	4
