Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0048589-T01-IM6	1.26E-01	1.99E-01	2.71E-01	1.96E-01	6.18E-01	6.04E-01
P-0048620-T01-IM6	5.09E-02	3.02E-01	3.84E-01	4.06E-01	5.59E-01	6.25E-01
P-0048757-T01-IM6	1.69E-01	5.19E-01	3.19E-01	5.36E-01	1.92E-01	1.83E-01
P-0048915-T01-IM6	1.41E-02	2.08E-01	2.89E-01	2.27E-01	5.86E-01	5.83E-01
P-0048984-T01-IM6	0.00E+00	0.00E+00	2.75E-01	4.84E-01	2.31E-01	5.23E-01
P-0049047-T01-IM6	4.45E+00	2.97E+00	3.90E+00	3.64E+00	1.38E+00	4.55E+00
P-0049073-T01-IM6	2.08E+00	1.48E+00	7.54E-01	5.28E-01	1.16E+00	1.66E+00
P-0049274-T01-IM6	6.60E-01	5.57E-01	2.19E-01	1.08E-01	4.73E-01	4.32E-01
P-0049291-T01-IM6	0.00E+00	2.20E-01	2.12E-01	5.01E-01	2.73E-01	5.19E-01
P-0049371-T01-IM6	6.99E-01	7.57E-01	2.15E-01	3.07E-01	1.78E-01	2.79E-01
P-0049473-T01-IM6	0.00E+00	2.63E-01	4.37E-01	4.36E-01	4.08E-01	3.81E-01
P-0049485-T01-IM6	1.23E-01	3.90E-01	8.43E-01	5.14E-01	6.15E-01	7.82E-01
P-0049760-T01-IM6	2.80E+00	4.40E+00	3.35E+00	3.52E+00	7.09E-01	7.01E-01
P-0049775-T01-IM6	2.07E-01	3.51E-01	3.94E-01	4.55E-01	2.57E-01	3.30E-01
P-0049788-T01-IM6	3.39E-01	3.08E-01	1.38E-01	4.72E-02	1.82E-01	1.26E-01
P-0049805-T01-IM6	3.83E-02	3.17E-01	3.77E-01	3.53E-01	3.64E-01	4.19E-01
P-0049931-T01-IM6	1.25E-01	3.37E-01	5.28E-01	4.64E-01	5.77E-01	6.56E-01
P-0050111-T01-IM6	1.96E-01	2.41E-01	5.18E-01	4.16E-01	2.65E-01	4.43E-01
