Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
P-0031496-T01-IM6	13	17	9	0	0	5	5	4
P-0032060-T01-IM6	21	16	0	4	0	3	0	11
P-0032698-T01-IM6	13	6	1	2	2	0	23	0
P-0032718-T01-IM6	2	16	0	4	0	19	2	16
P-0032777-T01-IM6	0	4	2	4	0	2	31	0
P-0033100-T01-IM6	6	4	4	2	29	0	2	0
P-0033382-T01-IM6	40	11	23	2	16	0	0	0
P-0033425-T01-IM6	96	183	29	6	0	28	23	0
P-0033503-T01-IM6	13	3	4	0	9	0	1	0
P-0033748-T01-IM6	0	0	0	95	16	23	0	0
P-0033852-T01-IM6	11	0	7	1	0	6	14	0
P-0034090-T01-IM6	0	7	2	0	0	4	2	4
P-0034401-T01-IM6	7	2	0	0	6	9	0	0
P-0034935-T01-IM6	0	2	0	0	0	4	3	4
P-0034950-T01-IM6	13	7	1	0	0	16	2	0
P-0035033-T01-IM6	3	4	0	0	0	1	0	2
P-0035100-T01-IM6	19	4	0	0	3	0	7	0
P-0035103-T01-IM6	4	8	24	97	0	0	0	0
P-0035437-T01-IM6	0	4	15	2	19	1	6	1
P-0035452-T01-IM6	13	8	7	0	5	22	8	3
P-0035693-T01-IM6	0	3	9	0	7	2	0	0
P-0035742-T01-IM6	0	3	11	7	1	1	0	0
P-0035755-T01-IM6	12	9	0	0	0	9	6	11
P-0035916-T01-IM6	12	5	5	2	0	0	2	16
P-0036028-T01-IM6	10	19	0	4	0	1	12	0
P-0036050-T01-IM6	11	18	9	0	0	0	0	4
P-0036309-T01-IM6	8	6	5	0	11	0	7	2
P-0036334-T01-IM6	19	12	5	2	0	2	5	6
P-0036369-T01-IM6	5	15	8	2	20	0	1	2
P-0036380-T01-IM6	3	1	5	2	0	21	0	0
P-0036500-T01-IM6	15	18	14	0	14	0	0	0
P-0036503-T01-IM6	0	21	68	51	0	0	0	0
P-0036831-T01-IM6	11	5	8	0	0	6	2	11
P-0036852-T01-IM6	12	5	4	4	2	16	5	11
P-0036924-T01-IM6	2	0	1	0	20	8	0	14
P-0037227-T01-IM6	9	1	0	0	13	0	5	4
P-0037246-T01-IM6	5	8	1	2	1	9	0	0
P-0037410-T01-IM6	6	13	0	2	0	30	5	10
P-0037531-T01-IM6	0	6	11	71	0	0	3	19
P-0037582-T01-IM6	13	8	3	0	0	0	4	3
P-0037838-T02-IM6	11	5	0	2	2	0	9	2
P-0037867-T01-IM6	5	7	11	0	8	0	14	0
P-0037875-T01-IM6	3	5	7	0	8	15	4	3
P-0037898-T01-IM6	0	18	52	142	0	4	0	0
P-0038159-T01-IM6	12	1	0	0	15	3	0	2
P-0038378-T01-IM6	10	4	3	0	0	6	2	11
P-0038553-T01-IM6	4	20	5	0	14	6	5	11
P-0038612-T02-IM6	3	9	2	0	2	0	7	4
P-0038638-T01-IM6	3	1	4	0	7	6	7	0
P-0038880-T01-IM6	31	6	10	2	16	9	0	0
P-0038908-T01-IM6	4	0	3	0	9	0	4	1
P-0039283-T01-IM6	47	23	24	2	1	0	9	10
P-0039441-T01-IM6	6	3	1	0	3	17	1	0
P-0039443-T01-IM6	19	8	7	0	0	13	0	3
P-0039589-T01-IM6	27	17	2	13	0	36	26	8
P-0039800-T01-IM6	17	10	0	0	0	0	3	0
P-0039938-T01-IM6	19	11	3	2	0	7	13	3
P-0039999-T01-IM6	10	2	0	0	11	14	0	11
P-0040021-T01-IM6	5	4	3	2	18	0	1	0
