Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
P-0035437-T01-IM6	4.57E-01	3.54E-01	4.40E-01	3.42E-01	6.55E-01	4.69E-01	5.11E-01	4.96E-01
P-0035452-T01-IM6	5.78E-01	6.24E-01	5.03E-01	1.41E-01	5.52E-01	6.60E-01	6.28E-01	6.15E-01
P-0035693-T01-IM6	3.09E-01	2.49E-01	3.74E-01	1.69E-01	3.03E-01	2.94E-01	2.72E-01	2.84E-01
P-0035742-T01-IM6	1.19E-01	2.90E-01	5.93E-01	5.43E-01	2.35E-01	1.41E-01	1.05E-01	8.80E-02
P-0035755-T01-IM6	6.53E-01	5.41E-01	2.88E-01	2.81E-02	5.79E-01	5.79E-01	5.98E-01	5.51E-01
P-0035916-T01-IM6	4.81E-01	4.38E-01	3.82E-01	1.90E-01	5.31E-01	4.23E-01	4.63E-01	6.24E-01
P-0036028-T01-IM6	5.57E-01	6.92E-01	2.84E-01	2.11E-01	4.67E-01	6.16E-01	6.06E-01	3.54E-01
P-0036050-T01-IM6	7.02E-01	7.41E-01	5.14E-01	5.63E-02	1.60E-01	3.99E-01	2.82E-01	3.13E-01
P-0036309-T01-IM6	5.72E-01	4.57E-01	4.28E-01	1.66E-01	4.41E-01	3.26E-01	4.42E-01	3.39E-01
P-0036334-T01-IM6	7.01E-01	6.26E-01	4.80E-01	1.46E-01	3.60E-01	4.48E-01	3.77E-01	3.51E-01
P-0036369-T01-IM6	6.28E-01	5.60E-01	4.77E-01	2.35E-01	5.10E-01	5.05E-01	3.99E-01	4.47E-01
P-0036380-T01-IM6	3.90E-01	3.87E-01	3.12E-01	2.77E-01	3.76E-01	6.04E-01	5.47E-01	4.46E-01
P-0036500-T01-IM6	9.84E-01	7.84E-01	7.77E-01	0.00E+00	4.72E-01	5.11E-01	3.44E-01	3.30E-01
P-0036503-T01-IM6	5.76E-01	9.45E-01	2.70E+00	2.59E+00	2.95E-01	4.03E-01	2.61E-01	2.51E-01
P-0036831-T01-IM6	4.59E-01	4.66E-01	3.88E-01	1.99E-01	3.30E-01	3.98E-01	3.45E-01	4.42E-01
P-0036852-T01-IM6	5.12E-01	5.83E-01	3.50E-01	2.49E-01	5.29E-01	5.70E-01	6.02E-01	4.76E-01
P-0036924-T01-IM6	5.05E-01	1.91E-01	3.58E-01	5.75E-02	8.18E-01	5.78E-01	6.75E-01	7.38E-01
P-0037227-T01-IM6	4.95E-01	2.76E-01	2.84E-01	1.15E-01	4.84E-01	3.12E-01	4.09E-01	4.33E-01
P-0037246-T01-IM6	2.98E-01	4.05E-01	2.45E-01	1.38E-01	2.54E-01	3.20E-01	2.55E-01	2.05E-01
P-0037410-T01-IM6	5.85E-01	7.06E-01	4.01E-01	1.49E-01	6.82E-01	8.89E-01	7.27E-01	6.62E-01
P-0037531-T01-IM6	9.46E-02	3.85E-01	1.03E+00	1.12E+00	4.34E-01	3.36E-01	4.16E-01	5.48E-01
P-0037582-T01-IM6	5.82E-01	5.32E-01	3.80E-01	9.00E-02	3.24E-01	3.89E-01	3.31E-01	3.03E-01
P-0037838-T02-IM6	5.25E-01	3.93E-01	2.72E-01	1.05E-01	4.37E-01	3.29E-01	4.16E-01	3.47E-01
P-0037867-T01-IM6	4.86E-01	4.32E-01	4.64E-01	2.77E-01	6.26E-01	4.48E-01	5.20E-01	4.82E-01
P-0037875-T01-IM6	4.79E-01	5.03E-01	4.25E-01	1.16E-01	5.43E-01	5.75E-01	5.92E-01	4.27E-01
P-0037898-T01-IM6	4.07E-01	9.32E-01	3.16E+00	2.99E+00	1.82E-01	5.73E-01	4.36E-01	1.30E-01
P-0038159-T01-IM6	5.30E-01	3.93E-01	3.28E-01	0.00E+00	4.82E-01	4.07E-01	2.82E-01	3.22E-01
P-0038378-T01-IM6	4.95E-01	4.42E-01	3.22E-01	5.60E-02	4.83E-01	4.80E-01	4.73E-01	4.77E-01
P-0038553-T01-IM6	4.83E-01	6.07E-01	4.88E-01	2.23E-02	6.65E-01	7.63E-01	7.33E-01	8.96E-01
P-0038612-T02-IM6	4.04E-01	3.93E-01	2.31E-01	2.00E-02	3.28E-01	3.56E-01	3.84E-01	3.22E-01
P-0038638-T01-IM6	3.29E-01	3.81E-01	3.21E-01	9.36E-02	4.32E-01	4.67E-01	5.49E-01	2.95E-01
P-0038880-T01-IM6	9.31E-01	6.84E-01	8.27E-01	1.84E-01	6.98E-01	6.84E-01	4.51E-01	4.08E-01
P-0038908-T01-IM6	3.64E-01	2.26E-01	2.78E-01	9.01E-02	4.09E-01	2.38E-01	3.33E-01	2.81E-01
P-0039283-T01-IM6	1.55E+00	1.41E+00	1.20E+00	2.00E-01	7.92E-01	9.96E-01	7.81E-01	7.11E-01
P-0039441-T01-IM6	4.14E-01	4.20E-01	2.57E-01	0.00E+00	4.04E-01	4.86E-01	4.41E-01	2.93E-01
P-0039443-T01-IM6	6.60E-01	6.65E-01	5.49E-01	1.48E-01	3.11E-01	5.84E-01	3.92E-01	3.18E-01
P-0039589-T01-IM6	1.08E+00	1.36E+00	5.41E-01	4.18E-01	5.93E-01	1.55E+00	1.31E+00	8.32E-01
P-0039800-T01-IM6	5.60E-01	5.23E-01	3.29E-01	0.00E+00	3.17E-01	2.49E-01	2.34E-01	1.14E-01
P-0039938-T01-IM6	7.04E-01	7.35E-01	3.90E-01	2.05E-01	5.20E-01	5.77E-01	5.82E-01	4.32E-01
P-0039999-T01-IM6	5.56E-01	4.53E-01	3.20E-01	0.00E+00	6.72E-01	5.85E-01	5.67E-01	6.50E-01
P-0040021-T01-IM6	4.00E-01	3.82E-01	3.00E-01	1.32E-01	5.13E-01	3.89E-01	3.67E-01	2.87E-01
P-0040107-T01-IM6	4.88E-01	5.34E-01	3.96E-01	3.00E-02	5.07E-01	4.23E-01	4.37E-01	3.83E-01
P-0040121-T01-IM6	4.55E-01	5.07E-01	4.69E-01	1.70E-01	5.70E-01	5.21E-01	6.47E-01	6.27E-01
P-0040182-T01-IM6	4.16E-01	5.51E-01	3.24E-01	1.52E-01	5.34E-01	4.14E-01	5.93E-01	3.59E-01
P-0040250-T01-IM6	7.08E-01	7.16E-01	3.63E-01	1.19E-01	3.70E-01	4.24E-01	2.87E-01	2.28E-01
P-0040355-T01-IM6	4.32E-01	3.90E-01	2.58E-01	3.00E-02	3.07E-01	3.16E-01	3.33E-01	3.72E-01
P-0040373-T01-IM6	5.96E-01	5.57E-01	4.55E-01	6.11E-02	6.76E-01	3.88E-01	4.69E-01	5.61E-01
P-0040484-T01-IM6	4.32E-01	4.00E-01	2.44E-01	2.81E-02	2.06E-01	3.71E-01	3.25E-01	1.66E-01
P-0040678-T01-IM6	1.05E+00	8.43E-01	7.79E-01	0.00E+00	4.55E-01	1.89E-01	3.15E-01	2.18E-01
P-0040787-T01-IM6	4.67E-01	6.41E-01	1.82E+00	1.80E+00	2.53E-01	5.22E-01	2.66E-01	2.90E-01
P-0041005-T01-IM6	7.62E-01	8.31E-01	5.32E-01	0.00E+00	6.60E-01	6.61E-01	8.80E-01	6.75E-01
P-0041144-T01-IM6	6.13E-01	6.24E-01	4.92E-01	7.00E-02	5.88E-01	6.28E-01	5.23E-01	4.84E-01
P-0041213-T01-IM6	3.38E-01	4.11E-01	2.59E-01	0.00E+00	3.57E-01	4.49E-01	3.12E-01	1.44E-01
P-0041436-T01-IM6	5.88E-01	5.87E-01	3.99E-01	1.25E-01	5.49E-01	4.55E-01	4.78E-01	4.95E-01
P-0041542-T01-IM6	4.43E-01	4.65E-01	4.31E-01	2.18E-01	1.77E-01	2.27E-01	1.46E-01	1.72E-01
P-0041648-T01-IM6	9.71E-01	7.91E-01	7.33E-01	1.72E-01	5.92E-01	5.73E-01	5.04E-01	2.02E-01
P-0041855-T01-IM6	6.98E-01	7.13E-01	6.15E-01	2.69E-01	6.89E-01	9.69E-01	7.48E-01	6.98E-01
P-0041986-T01-IM6	8.69E-01	5.39E-01	7.00E-01	0.00E+00	6.56E-01	3.89E-01	3.74E-01	3.80E-01
P-0042503-T01-IM6	4.00E-01	4.06E-01	3.56E-01	1.30E-01	4.87E-01	4.47E-01	4.39E-01	5.62E-01
P-0042615-T01-IM6	7.26E-01	5.24E-01	3.51E-01	1.35E-01	2.16E-01	5.07E-01	3.20E-01	2.28E-01
P-0042737-T01-IM6	6.28E-01	5.95E-01	4.74E-01	0.00E+00	2.72E-01	3.95E-01	4.09E-01	2.69E-01
P-0042880-T01-IM6	4.36E-01	3.43E-01	3.10E-01	2.04E-01	2.13E-01	3.97E-01	3.76E-01	2.34E-01
P-0043005-T01-IM6	9.88E-01	7.48E-01	8.01E-01	2.05E-01	5.87E-01	5.23E-01	4.66E-01	3.03E-01
P-0043052-T01-IM6	1.10E+00	8.47E-01	8.44E-01	0.00E+00	8.76E-01	8.74E-01	7.33E-01	5.22E-01
P-0043087-T01-IM6	1.12E+00	9.73E-01	9.70E-01	0.00E+00	7.29E-01	5.78E-01	5.76E-01	7.37E-01
P-0043095-T01-IM6	6.49E-01	4.65E-01	4.58E-01	1.89E-01	6.85E-01	4.31E-01	5.46E-01	6.86E-01
P-0043154-T01-IM6	7.47E-01	4.81E-01	6.73E-01	1.39E-01	7.18E-01	5.32E-01	4.86E-01	2.38E-01
P-0043169-T01-IM6	1.70E-01	2.86E-01	2.03E-01	0.00E+00	2.69E-01	3.62E-01	3.34E-01	3.17E-01
P-0043595-T01-IM6	7.40E-01	6.51E-01	5.90E-01	0.00E+00	5.21E-01	5.87E-01	5.76E-01	3.44E-01
P-0043599-T01-IM6	3.85E-01	3.17E-01	4.05E-01	1.73E-01	5.99E-01	5.92E-01	4.28E-01	6.65E-01
P-0043781-T01-IM6	2.91E-01	2.52E-01	3.62E-01	5.92E-02	5.36E-01	6.15E-01	5.18E-01	7.41E-01
P-0043907-T01-IM6	8.79E-01	4.44E-01	5.81E-01	0.00E+00	5.99E-01	4.08E-01	3.78E-01	3.67E-01
P-0044184-T01-IM6	4.80E-01	7.00E-01	4.36E-01	2.00E-02	6.76E-01	6.64E-01	6.27E-01	3.47E-01
P-0044217-T01-IM6	3.48E-01	3.28E-01	2.39E-01	0.00E+00	3.02E-01	2.31E-01	2.69E-01	2.85E-01
P-0044329-T01-IM6	5.96E-01	5.18E-01	3.36E-01	0.00E+00	5.37E-01	6.56E-01	5.83E-01	4.70E-01
P-0044371-T01-IM6	4.99E-01	5.62E-01	5.58E-01	3.71E-02	7.90E-01	7.68E-01	6.81E-01	1.06E+00
P-0044406-T01-IM6	6.06E-01	3.85E-01	4.65E-01	0.00E+00	5.77E-01	4.51E-01	2.97E-01	4.21E-01
P-0044484-T01-IM6	5.85E-01	5.33E-01	4.81E-01	1.97E-01	4.40E-01	3.09E-01	3.22E-01	2.51E-01
P-0044540-T01-IM6	4.83E-01	5.72E-01	3.79E-01	2.39E-01	5.41E-01	4.39E-01	4.03E-01	5.55E-01
P-0044544-T01-IM6	4.32E-01	4.28E-01	3.12E-01	0.00E+00	4.70E-01	4.22E-01	4.21E-01	4.17E-01
P-0044576-T01-IM6	4.34E-01	3.06E-01	3.19E-01	1.50E-01	4.67E-01	3.93E-01	3.04E-01	5.03E-01
P-0044645-T01-IM6	1.48E+00	1.28E+00	9.48E-01	1.50E-01	6.13E-01	6.72E-01	3.55E-01	2.20E-01
P-0044666-T01-IM6	5.94E-01	5.95E-01	2.32E-01	0.00E+00	2.97E-01	4.16E-01	2.95E-01	2.89E-01
P-0044791-T01-IM6	5.88E-01	5.57E-01	4.63E-01	0.00E+00	4.98E-01	4.34E-01	3.13E-01	3.87E-01
