Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0048984-T01-IM6	20	0.447	27.589	137.945%	6.37	98.291%	1.7167	0.376
P-0049047-T01-IM6	629	0.927	276.593	43.973%	73.497	37.592%	0.17119	0.918
P-0049073-T01-IM6	219	0.845	172.435	78.737%	48.288	55.503%	0.48543	0.835
P-0049274-T01-IM6	46	0.85	44.088	95.843%	9.585	54.264%	0.80619	0.839
P-0049291-T01-IM6	45	0.531	59.709	132.687%	17.192	85.218%	1.15539	0.493
P-0049371-T01-IM6	51	0.903	43.997	86.269%	10.564	49.309%	0.59061	0.903
P-0049473-T01-IM6	28	0.629	32.397	115.704%	7.531	80.281%	1.12583	0.583
P-0049485-T01-IM6	46	0.62	47.894	104.117%	10.569	93.418%	0.9884	0.552
P-0049760-T01-IM6	384	0.931	207.22	53.964%	58.592	41.015%	0.22806	0.928
P-0049775-T01-IM6	32	0.734	29.145	91.078%	8.152	67.933%	0.8863	0.708
P-0049788-T01-IM6	22	0.838	23.829	108.314%	5.915	59.15%	0.95362	0.834
P-0049805-T01-IM6	21	0.546	25.751	122.624%	5.675	93.296%	1.3405	0.479
P-0049931-T01-IM6	39	0.66	40.772	104.544%	8.657	85.3%	1.10942	0.603
P-0050111-T01-IM6	28	0.639	31.839	113.711%	7.051	80.881%	0.97677	0.59
