Samples	SBS96A	SBS96B	SBS96C
P-0046394-T01-IM6	27	8	0
P-0046492-T01-IM6	24	6	5
P-0046698-T01-IM6	68	32	1
P-0046738-T01-IM6	18	6	0
P-0046739-T01-IM6	38	8	0
P-0046759-T01-IM6	30	10	0
P-0046843-T01-IM6	51	19	1
P-0046954-T01-IM6	2	8	0
P-0047056-T01-IM6	36	40	2
P-0047121-T01-IM6	25	0	0
P-0047196-T01-IM6	25	5	0
P-0047599-T01-IM6	77	9	5
P-0047601-T01-IM6	13	17	0
P-0047632-T01-IM6	36	13	0
P-0047822-T01-IM6	20	26	0
P-0047850-T01-IM6	39	9	1
P-0047862-T01-IM6	21	14	0
P-0047886-T01-IM6	21	23	4
P-0048082-T01-IM6	30	10	0
P-0048215-T01-IM6	75	80	315
P-0048221-T01-IM6	55	23	0
P-0048257-T01-IM6	10	18	6
P-0048271-T01-IM6	24	0	3
P-0048660-T01-IM6	17	8	0
P-0048893-T01-IM6	26	11	4
P-0049064-T01-IM6	20	28	3
P-0049202-T01-IM6	0	0	173
P-0049359-T01-IM6	24	3	2
P-0049376-T01-IM6	28	16	1
P-0049486-T01-IM6	12	8	0
P-0049600-T01-IM6	11	6	0
P-0049633-T01-IM6	13	16	0
P-0049661-T01-IM6	22	12	0
P-0049762-T01-IM6	20	10	3
P-0049970-T01-IM6	31	22	7
P-0050263-T01-IM6	0	0	281
P-0050266-T01-IM6	11	31	5
