Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
P-0037867-T01-IM6	5	7	9	0	1	7	10	0	6
P-0037875-T01-IM6	3	4	6	0	15	8	3	2	4
P-0037898-T01-IM6	0	18	56	134	8	0	0	0	0
P-0038159-T01-IM6	13	0	0	0	5	11	1	3	0
P-0038378-T01-IM6	7	4	3	0	7	8	1	5	1
P-0038553-T01-IM6	7	16	3	0	0	0	5	13	21
P-0038612-T02-IM6	3	8	1	0	0	0	5	4	6
P-0038638-T01-IM6	3	0	3	0	6	6	5	0	5
P-0038880-T01-IM6	33	4	9	2	9	6	0	0	11
P-0038908-T01-IM6	3	1	3	0	1	10	3	0	0
P-0039283-T01-IM6	48	22	19	2	4	0	8	9	4
P-0039441-T01-IM6	5	2	1	0	16	6	1	0	0
P-0039443-T01-IM6	17	7	6	0	16	0	1	3	0
P-0039589-T01-IM6	24	15	4	12	40	0	23	11	0
P-0039800-T01-IM6	17	9	0	0	2	0	2	0	0
P-0039938-T01-IM6	16	11	3	2	12	0	11	3	0
P-0039999-T01-IM6	7	0	1	0	17	18	0	5	0
P-0040021-T01-IM6	7	3	2	2	0	11	1	0	7
P-0040107-T01-IM6	8	12	1	0	0	14	2	0	7
P-0040121-T01-IM6	4	6	6	2	0	14	4	14	0
P-0040182-T01-IM6	1	11	2	0	0	15	10	0	2
P-0040250-T01-IM6	14	18	0	2	0	0	2	0	5
P-0040355-T01-IM6	8	6	3	0	0	3	3	7	0
P-0040373-T01-IM6	6	11	8	0	0	14	4	8	0
P-0040484-T01-IM6	6	6	3	0	5	1	2	0	0
P-0040678-T01-IM6	22	13	4	0	0	5	5	0	0
P-0040787-T01-IM6	5	7	24	126	11	0	0	0	0
P-0041005-T01-IM6	9	19	4	0	6	14	16	5	0
P-0041144-T01-IM6	12	8	6	0	14	14	4	0	0
P-0041213-T01-IM6	6	3	1	0	13	0	0	0	3
P-0041436-T01-IM6	12	10	0	2	0	8	5	5	6
P-0041542-T01-IM6	4	6	8	0	3	0	0	0	0
P-0041648-T01-IM6	31	4	8	2	15	0	9	0	0
P-0041855-T01-IM6	18	4	2	2	25	0	13	3	12
P-0041986-T01-IM6	17	7	7	0	0	17	5	0	1
P-0042503-T01-IM6	9	5	0	2	0	7	8	9	0
P-0042615-T01-IM6	14	0	2	1	19	0	2	0	0
P-0042737-T01-IM6	11	11	6	0	4	0	10	0	0
P-0042880-T01-IM6	6	0	4	0	13	0	4	0	0
P-0043005-T01-IM6	19	12	9	2	8	6	8	1	0
P-0043052-T01-IM6	34	3	10	0	27	12	7	0	0
P-0043087-T01-IM6	22	18	9	0	0	12	5	21	0
P-0043095-T01-IM6	14	6	6	0	4	14	2	10	0
P-0043154-T01-IM6	15	5	6	1	0	12	5	0	8
P-0043169-T01-IM6	0	3	0	0	10	3	0	2	0
P-0043595-T01-IM6	19	5	7	0	16	6	3	0	0
P-0043599-T01-IM6	8	0	1	2	10	0	0	18	0
P-0043781-T01-IM6	5	0	1	0	0	3	0	22	5
P-0043907-T01-IM6	30	0	3	0	0	8	5	4	0
P-0044184-T01-IM6	9	8	1	0	11	0	9	0	15
P-0044217-T01-IM6	9	1	0	0	0	3	3	4	1
P-0044329-T01-IM6	20	2	1	0	14	0	6	9	0
P-0044371-T01-IM6	9	4	4	0	0	0	2	47	0
P-0044406-T01-IM6	7	5	5	0	0	13	0	0	7
P-0044484-T01-IM6	10	10	4	2	0	11	1	0	0
P-0044540-T01-IM6	4	18	4	4	0	3	0	1	11
P-0044544-T01-IM6	11	1	1	0	8	13	2	0	0
P-0044576-T01-IM6	8	1	0	1	0	10	0	5	7
P-0044645-T01-IM6	54	23	0	2	0	0	2	1	3
P-0044666-T01-IM6	4	11	0	0	12	0	0	2	0
P-0044791-T01-IM6	17	12	0	0	0	0	0	0	12
P-0044805-T01-IM6	12	4	4	0	0	7	2	0	2
P-0044833-T01-IM6	23	1	4	0	14	0	14	2	1
P-0044858-T01-IM6	14	1	2	2	0	4	0	6	0
P-0045009-T01-IM6	5	8	3	0	4	0	2	1	3
P-0045111-T01-IM6	14	2	5	2	11	0	10	0	7
P-0045223-T01-IM6	0	4	2	0	0	5	0	10	0
P-0045253-T01-IM6	5	6	1	0	0	23	2	1	0
P-0045320-T01-IM6	9	3	5	0	5	0	4	4	0
P-0045366-T01-IM6	10	7	0	0	3	0	0	5	8
P-0045460-T01-IM6	1	4	3	0	4	15	2	0	0
P-0045471-T01-IM6	0	13	2	0	0	3	0	4	1
P-0045547-T01-IM6	3	1	1	2	4	5	2	0	0
P-0045569-T01-IM6	21	15	1	0	8	2	7	14	0
P-0045713-T01-IM6	9	0	3	0	6	2	0	0	1
P-0045823-T01-IM6	5	13	1	0	0	2	7	0	10
P-0045984-T01-IM6	24	5	8	0	10	7	0	0	0
P-0046035-T01-IM6	6	2	0	3	0	15	0	0	0
P-0046229-T01-IM6	3	2	0	2	16	8	0	0	0
P-0046266-T01-IM6	6	3	1	0	0	11	9	0	11
P-0046311-T01-IM6	7	3	7	2	5	0	2	2	0
P-0046312-T01-IM6	20	0	1	2	13	0	1	0	0
P-0046394-T01-IM6	16	2	0	1	9	5	1	0	1
P-0046492-T01-IM6	12	1	8	0	7	0	5	0	2
P-0046698-T01-IM6	29	23	9	0	16	4	14	6	0
P-0046738-T01-IM6	4	13	1	0	4	0	2	0	0
P-0046739-T01-IM6	15	13	2	0	0	14	1	0	1
P-0046759-T01-IM6	12	12	0	2	0	5	2	7	0
P-0046843-T01-IM6	26	8	7	0	0	18	0	12	0
P-0046954-T01-IM6	0	0	0	0	0	3	0	0	7
P-0047056-T01-IM6	7	14	7	0	15	29	6	0	0
P-0047121-T01-IM6	13	5	2	0	0	0	2	3	0
P-0047196-T01-IM6	10	4	1	0	10	0	0	0	5
P-0047599-T01-IM6	43	9	13	0	2	2	10	3	9
P-0047601-T01-IM6	1	9	1	0	0	4	1	3	11
P-0047632-T01-IM6	12	17	3	0	0	12	5	0	0
P-0047822-T01-IM6	12	0	2	0	12	5	8	6	1
P-0047850-T01-IM6	20	5	5	0	0	16	3	0	0
P-0047862-T01-IM6	5	11	2	0	0	9	4	0	4
P-0047886-T01-IM6	8	6	4	2	0	16	1	10	1
P-0048082-T01-IM6	16	0	3	0	0	15	4	0	2
P-0048215-T01-IM6	0	72	180	159	41	0	9	9	0
P-0048221-T01-IM6	20	17	5	0	29	6	0	1	0
P-0048257-T01-IM6	0	7	3	4	0	12	8	0	0
P-0048271-T01-IM6	16	0	5	0	4	0	2	0	0
P-0048660-T01-IM6	10	2	1	0	3	4	0	5	0
P-0048893-T01-IM6	11	3	4	2	0	11	3	0	7
P-0049064-T01-IM6	0	13	6	0	7	17	0	6	2
P-0049202-T01-IM6	1	6	46	114	0	0	6	0	0
P-0049359-T01-IM6	11	0	4	0	0	11	2	0	1
P-0049376-T01-IM6	18	0	4	0	0	14	5	2	2
P-0049486-T01-IM6	5	5	0	0	4	1	0	5	0
P-0049600-T01-IM6	4	3	1	0	5	0	4	0	0
P-0049633-T01-IM6	2	11	0	0	1	8	2	5	0
P-0049661-T01-IM6	8	4	2	0	17	0	0	0	3
P-0049762-T01-IM6	5	11	5	1	0	7	4	0	0
P-0049970-T01-IM6	12	8	6	4	0	24	6	0	0
P-0050263-T01-IM6	0	0	138	143	0	0	0	0	0
P-0050266-T01-IM6	5	0	4	2	10	5	11	0	10
