Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
P-0036500-T01-IM6	23	20	17	0	0	1	0
P-0036503-T01-IM6	0	22	70	0	48	0	0
P-0036831-T01-IM6	11	5	8	7	1	2	9
P-0036852-T01-IM6	11	5	4	18	5	6	10
P-0036924-T01-IM6	4	0	1	16	0	0	24
P-0037227-T01-IM6	13	0	0	0	0	8	11
P-0037246-T01-IM6	6	10	1	6	2	0	1
P-0037410-T01-IM6	4	15	0	35	2	3	7
P-0037531-T01-IM6	0	6	10	0	74	3	17
P-0037582-T01-IM6	15	8	3	0	0	4	1
P-0037838-T02-IM6	11	5	0	0	2	11	2
P-0037867-T01-IM6	7	7	13	3	0	15	0
P-0037875-T01-IM6	4	5	9	23	0	2	2
P-0037898-T01-IM6	0	21	53	0	142	0	0
P-0038159-T01-IM6	15	0	0	9	0	1	8
P-0038378-T01-IM6	9	4	3	8	0	1	11
P-0038553-T01-IM6	8	21	6	4	0	8	18
P-0038612-T02-IM6	4	9	2	0	0	8	4
P-0038638-T01-IM6	4	0	4	13	0	7	0
P-0038880-T01-IM6	38	1	10	23	2	0	0
P-0038908-T01-IM6	6	0	3	0	0	7	5
P-0039283-T01-IM6	53	21	25	3	2	8	4
P-0039441-T01-IM6	6	3	1	20	0	1	0
P-0039443-T01-IM6	20	9	7	14	0	0	0
P-0039589-T01-IM6	26	21	0	37	14	31	0
P-0039800-T01-IM6	18	10	0	0	0	2	0
P-0039938-T01-IM6	17	13	3	8	2	15	0
P-0039999-T01-IM6	11	0	0	22	0	0	15
P-0040021-T01-IM6	12	1	3	7	2	4	4
P-0040107-T01-IM6	14	13	1	3	0	5	8
P-0040121-T01-IM6	7	6	8	0	2	6	21
P-0040182-T01-IM6	6	11	2	0	0	17	5
P-0040250-T01-IM6	16	21	0	0	2	2	0
P-0040355-T01-IM6	10	5	3	0	0	2	10
P-0040373-T01-IM6	9	11	11	0	0	5	15
P-0040484-T01-IM6	7	8	3	2	0	3	0
P-0040678-T01-IM6	29	11	4	0	0	5	0
P-0040787-T01-IM6	6	10	9	8	140	0	0
P-0041005-T01-IM6	13	22	4	0	0	23	11
P-0041144-T01-IM6	17	9	8	17	0	5	2
P-0041213-T01-IM6	6	4	1	15	0	0	0
P-0041436-T01-IM6	17	11	0	2	1	7	10
P-0041542-T01-IM6	4	6	11	0	0	0	0
P-0041648-T01-IM6	37	4	8	7	2	11	0
P-0041855-T01-IM6	18	5	0	39	3	14	0
P-0041986-T01-IM6	24	4	9	0	0	9	8
P-0042503-T01-IM6	11	4	0	0	2	11	12
P-0042615-T01-IM6	16	0	0	18	2	2	0
P-0042737-T01-IM6	12	12	7	0	0	11	0
P-0042880-T01-IM6	6	0	4	12	1	4	0
P-0043005-T01-IM6	24	13	12	3	2	11	0
P-0043052-T01-IM6	38	2	12	33	0	8	0
P-0043087-T01-IM6	27	18	11	0	0	5	26
P-0043095-T01-IM6	20	5	7	0	0	5	19
P-0043154-T01-IM6	20	2	8	12	2	8	0
P-0043169-T01-IM6	0	5	0	10	0	0	3
P-0043595-T01-IM6	21	4	9	18	0	4	0
P-0043599-T01-IM6	7	2	0	9	2	0	19
P-0043781-T01-IM6	5	0	1	3	0	0	27
P-0043907-T01-IM6	32	0	1	2	0	7	8
P-0044184-T01-IM6	9	11	1	21	0	11	0
P-0044217-T01-IM6	11	0	0	1	0	4	5
P-0044329-T01-IM6	21	3	0	10	0	8	10
P-0044371-T01-IM6	6	6	6	0	0	0	48
P-0044406-T01-IM6	14	3	9	0	0	0	11
P-0044484-T01-IM6	14	10	5	0	2	2	5
P-0044540-T01-IM6	6	23	6	0	5	0	5
P-0044544-T01-IM6	14	0	0	12	0	2	8
P-0044576-T01-IM6	13	0	0	0	1	0	18
P-0044645-T01-IM6	61	21	0	2	0	1	0
P-0044666-T01-IM6	5	15	0	8	0	0	1
P-0044791-T01-IM6	23	15	0	1	0	0	2
P-0044805-T01-IM6	15	3	5	2	0	3	3
P-0044833-T01-IM6	24	1	2	14	1	17	0
P-0044858-T01-IM6	16	0	1	0	2	0	10
P-0045009-T01-IM6	6	12	4	2	0	2	0
P-0045111-T01-IM6	14	2	6	15	2	12	0
P-0045223-T01-IM6	1	5	2	0	0	0	13
P-0045253-T01-IM6	13	3	0	0	0	3	19
P-0045320-T01-IM6	9	3	7	2	0	6	3
P-0045366-T01-IM6	11	9	0	7	0	0	6
P-0045460-T01-IM6	5	4	5	5	0	5	5
P-0045471-T01-IM6	0	16	3	0	0	0	4
P-0045547-T01-IM6	5	0	0	8	2	2	1
P-0045569-T01-IM6	24	17	0	4	0	9	14
P-0045713-T01-IM6	8	0	3	10	0	0	0
P-0045823-T01-IM6	8	17	1	0	0	12	0
P-0045984-T01-IM6	28	3	10	13	0	0	0
P-0046035-T01-IM6	12	0	0	0	4	0	10
P-0046229-T01-IM6	5	3	0	19	1	0	3
P-0046266-T01-IM6	9	1	1	11	0	15	4
P-0046311-T01-IM6	7	3	11	2	2	3	0
P-0046312-T01-IM6	22	0	0	13	2	0	0
P-0046394-T01-IM6	17	1	0	14	1	1	1
P-0046492-T01-IM6	13	0	10	7	0	5	0
P-0046698-T01-IM6	34	27	10	8	0	19	3
P-0046738-T01-IM6	5	14	1	2	0	2	0
P-0046739-T01-IM6	22	13	3	0	0	3	5
P-0046759-T01-IM6	15	12	0	0	2	1	10
P-0046843-T01-IM6	33	4	7	0	0	0	27
P-0046954-T01-IM6	0	0	0	10	0	0	0
P-0047056-T01-IM6	17	15	9	11	0	11	15
P-0047121-T01-IM6	15	5	2	0	0	1	2
P-0047196-T01-IM6	11	5	0	14	0	0	0
