Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0027335-T01-IM6	7.36E-01	7.61E-01	5.85E-01	5.19E-01	2.00E-02
P-0027375-T01-IM6	4.60E-01	5.91E-01	4.86E-01	5.19E-01	3.19E-01
P-0027438-T01-IM6	4.38E-01	6.18E-01	6.26E-01	6.50E-01	1.34E-01
P-0027740-T01-IM6	9.94E-01	1.12E+00	5.56E-01	4.48E-01	2.44E-01
P-0027858-T01-IM6	6.42E-01	9.92E-01	1.18E+00	8.87E-01	1.12E-01
P-0027929-T01-IM6	1.86E+00	3.82E+00	4.83E+00	3.70E+00	4.65E-01
P-0028069-T01-IM6	4.67E-01	6.37E-01	6.72E-01	5.70E-01	1.58E-01
P-0028266-T01-IM6	7.84E-01	9.90E-01	8.49E-01	7.05E-01	0.00E+00
P-0028274-T01-IM6	7.99E-01	9.11E-01	7.37E-01	5.21E-01	0.00E+00
P-0028344-T01-IM6	4.55E-01	5.72E-01	4.41E-01	2.63E-01	1.85E-01
P-0028474-T01-IM6	7.22E-01	1.18E+00	1.28E+00	7.44E-01	1.89E-01
P-0028485-T01-IM6	8.18E-01	1.07E+00	8.69E-01	8.46E-01	4.21E-01
P-0028571-T01-IM6	6.16E-01	6.84E-01	5.68E-01	5.01E-01	4.22E-02
P-0028891-T01-IM6	1.06E+00	1.08E+00	9.10E-01	7.53E-01	1.18E-01
P-0028979-T01-IM6	5.46E-01	8.18E-01	1.10E+00	9.77E-01	2.43E-02
P-0029114-T01-IM6	1.20E-01	4.63E-01	5.51E-01	6.28E-01	1.26E-01
P-0029169-T01-IM6	6.75E-01	7.39E-01	3.41E-01	2.17E-01	2.15E-01
P-0029398-T01-IM6	6.48E-01	8.16E-01	5.58E-01	5.52E-01	2.56E-01
P-0029399-T01-IM6	5.55E-01	4.70E-01	7.69E-01	6.61E-01	3.72E-01
P-0029495-T03-IM6	6.92E-01	6.74E-01	5.01E-01	2.37E-01	0.00E+00
P-0029646-T01-IM6	7.80E-01	1.11E+00	1.04E+00	1.02E+00	2.54E-01
P-0029980-T01-IM6	9.28E-01	9.78E-01	6.96E-01	7.28E-01	3.12E-01
P-0030244-T01-IM6	5.27E-01	7.76E-01	7.42E-01	7.11E-01	1.39E-01
P-0030265-T01-IM6	3.18E+00	3.71E+00	1.35E+00	9.22E-01	2.32E-01
P-0030636-T01-IM6	4.21E-01	2.62E-01	4.18E-01	4.68E-01	8.04E-02
P-0030708-T01-IM6	7.21E-01	8.12E-01	6.29E-01	6.80E-01	0.00E+00
P-0030774-T01-IM6	7.65E-01	8.76E-01	5.94E-01	7.21E-01	7.00E-02
P-0030960-T01-IM6	5.64E-01	6.87E-01	5.28E-01	4.73E-01	1.68E-01
P-0030988-T01-IM6	6.14E-01	7.36E-01	6.60E-01	6.21E-01	4.04E-02
P-0031050-T01-IM6	4.86E-01	5.49E-01	4.47E-01	5.26E-01	3.15E-02
P-0031091-T01-IM6	7.35E-01	9.31E-01	7.63E-01	7.29E-01	1.78E-01
P-0031146-T01-IM6	4.45E-01	4.32E-01	2.89E-01	2.59E-01	1.49E-01
P-0031207-T01-IM6	5.19E-01	5.89E-01	6.93E-01	7.23E-01	0.00E+00
P-0031496-T01-IM6	6.39E-01	6.84E-01	5.98E-01	5.45E-01	7.00E-02
P-0032060-T01-IM6	8.49E-01	8.79E-01	3.77E-01	6.17E-01	2.10E-01
P-0032698-T01-IM6	6.31E-01	8.16E-01	7.76E-01	6.72E-01	1.85E-01
P-0032718-T01-IM6	4.27E-01	9.22E-01	7.67E-01	8.86E-01	2.35E-01
P-0032777-T01-IM6	2.13E-01	7.94E-01	1.02E+00	8.62E-01	3.00E-01
P-0033100-T01-IM6	5.93E-01	6.62E-01	7.65E-01	6.25E-01	2.18E-01
P-0033382-T01-IM6	8.95E-01	8.72E-01	9.64E-01	2.38E-01	4.80E-01
P-0033425-T01-IM6	4.34E+00	5.41E+00	1.84E+00	8.85E-01	3.55E-01
P-0033503-T01-IM6	4.14E-01	3.56E-01	3.81E-01	2.24E-01	0.00E+00
P-0033748-T01-IM6	0.00E+00	8.76E-01	2.23E+00	1.88E+00	1.50E+00
P-0033852-T01-IM6	5.13E-01	6.62E-01	6.44E-01	5.02E-01	3.58E-01
P-0034090-T01-IM6	3.13E-01	4.18E-01	3.22E-01	3.81E-01	7.75E-02
P-0034401-T01-IM6	4.79E-01	5.77E-01	5.08E-01	3.28E-01	0.00E+00
P-0034935-T01-IM6	1.28E-01	3.12E-01	3.42E-01	3.53E-01	3.00E-02
P-0034950-T01-IM6	6.02E-01	8.09E-01	8.30E-01	6.36E-01	0.00E+00
P-0035033-T01-IM6	2.89E-01	3.83E-01	2.17E-01	1.90E-01	0.00E+00
P-0035100-T01-IM6	3.87E-01	3.15E-01	4.17E-01	3.60E-01	1.38E-01
P-0035103-T01-IM6	4.85E-01	5.08E-01	1.66E+00	2.26E-01	1.55E+00
P-0035437-T01-IM6	5.70E-01	6.54E-01	7.16E-01	7.82E-01	3.99E-01
P-0035452-T01-IM6	7.01E-01	8.17E-01	8.07E-01	7.27E-01	2.31E-01
P-0035693-T01-IM6	4.02E-01	3.94E-01	3.70E-01	4.00E-01	2.70E-01
P-0035742-T01-IM6	1.81E-01	3.12E-01	5.77E-01	1.24E-01	5.39E-01
P-0035755-T01-IM6	7.59E-01	8.16E-01	7.97E-01	7.05E-01	1.00E-02
P-0035916-T01-IM6	5.09E-01	5.17E-01	5.49E-01	6.39E-01	2.41E-01
P-0036028-T01-IM6	7.30E-01	9.91E-01	6.56E-01	6.00E-01	2.28E-01
P-0036050-T01-IM6	8.08E-01	8.89E-01	3.92E-01	3.10E-01	1.12E-01
P-0036309-T01-IM6	5.26E-01	5.80E-01	4.58E-01	4.66E-01	1.94E-01
