Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
P-0045547-T01-IM6	2.81E-01	2.07E-01	2.42E-01	1.12E-01	1.11E-01	2.54E-01	2.31E-01	2.15E-01	1.64E-01	1.15E-01
P-0045569-T01-IM6	7.98E-01	7.43E-01	6.65E-01	2.70E-01	0.00E+00	4.63E-01	3.91E-01	4.27E-01	4.31E-01	2.78E-01
P-0045713-T01-IM6	3.64E-01	1.11E-01	3.73E-01	2.06E-01	0.00E+00	2.73E-01	2.12E-01	2.95E-01	2.41E-01	2.42E-01
P-0045823-T01-IM6	4.93E-01	5.22E-01	3.52E-01	1.76E-01	1.13E-01	4.69E-01	4.88E-01	3.82E-01	1.79E-01	3.77E-01
P-0045984-T01-IM6	7.87E-01	5.70E-01	6.49E-01	4.13E-01	1.05E-01	4.63E-01	1.66E-01	2.74E-01	2.76E-01	2.94E-01
P-0046035-T01-IM6	4.26E-01	2.49E-01	3.10E-01	1.40E-01	1.47E-01	2.57E-01	2.46E-01	3.23E-01	2.66E-01	1.34E-01
P-0046229-T01-IM6	3.60E-01	3.60E-01	4.15E-01	1.11E-01	1.18E-01	4.86E-01	2.88E-01	3.95E-01	3.15E-01	3.01E-01
P-0046266-T01-IM6	4.66E-01	3.51E-01	3.96E-01	2.02E-01	2.00E-02	5.19E-01	4.64E-01	4.78E-01	3.11E-01	4.26E-01
P-0046311-T01-IM6	3.64E-01	2.92E-01	3.12E-01	3.12E-01	1.58E-01	2.44E-01	2.37E-01	1.67E-01	2.01E-01	2.38E-01
P-0046312-T01-IM6	8.36E-01	5.02E-01	7.96E-01	1.85E-01	9.89E-02	2.73E-01	1.93E-01	1.19E-01	1.26E-01	1.40E-01
P-0046394-T01-IM6	5.63E-01	4.03E-01	4.89E-01	2.00E-02	1.14E-01	3.31E-01	2.51E-01	2.57E-01	1.82E-01	3.11E-01
P-0046492-T01-IM6	4.72E-01	3.29E-01	5.13E-01	3.79E-01	3.15E-02	2.77E-01	3.65E-01	1.93E-01	2.65E-01	2.04E-01
P-0046698-T01-IM6	1.13E+00	9.36E-01	1.08E+00	4.52E-01	0.00E+00	8.37E-01	5.66E-01	4.47E-01	4.52E-01	3.46E-01
P-0046738-T01-IM6	3.35E-01	4.71E-01	3.49E-01	1.25E-01	1.41E-02	3.49E-01	1.83E-01	1.23E-01	1.70E-01	1.46E-01
