Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
P-0047822-T01-IM6	12	0	7	2	0	9	7	1	7	1
P-0047850-T01-IM6	22	5	3	5	0	5	3	6	0	0
P-0047862-T01-IM6	7	11	1	2	0	4	4	6	0	0
P-0047886-T01-IM6	11	6	1	4	2	1	2	11	10	0
P-0048082-T01-IM6	21	0	2	3	0	2	5	1	3	3
P-0048215-T01-IM6	0	64	0	156	148	73	11	0	18	0
P-0048221-T01-IM6	17	16	13	5	0	25	0	0	2	0
P-0048257-T01-IM6	3	7	0	2	4	0	8	8	0	2
P-0048271-T01-IM6	9	2	10	5	0	0	1	0	0	0
P-0048660-T01-IM6	7	3	5	1	0	0	0	4	4	1
P-0048893-T01-IM6	15	4	0	4	2	0	4	3	0	9
P-0049064-T01-IM6	3	12	2	5	0	10	0	15	3	1
P-0049202-T01-IM6	0	6	4	46	111	0	6	0	0	0
P-0049359-T01-IM6	15	0	0	3	0	0	2	2	0	7
P-0049376-T01-IM6	17	2	5	4	0	0	4	9	0	4
P-0049486-T01-IM6	3	6	4	0	0	2	0	2	3	0
P-0049600-T01-IM6	1	4	7	1	0	1	3	0	0	0
P-0049633-T01-IM6	2	10	3	0	0	0	2	9	1	2
P-0049661-T01-IM6	4	5	11	2	0	10	0	2	0	0
P-0049762-T01-IM6	7	10	0	4	0	4	4	3	0	1
P-0049970-T01-IM6	18	6	0	6	4	9	7	10	0	0
P-0050263-T01-IM6	1	0	5	129	141	5	0	0	0	0
P-0050266-T01-IM6	7	0	2	3	2	12	11	0	0	10
